truck_id,truck_licence_number,truck_details
40033,16564,Quo laudantium voluptas ut aut.4
34,5354,Maxime quas omnis laudantium.
10034,53541,Maxime quas omnis laudantium.1
20034,53542,Maxime quas omnis laudantium.2
30034,53543,Maxime quas omnis laudantium.3
40034,53544,Maxime quas omnis laudantium.4
35,4793,Et sunt unde consequatur architecto eos fuga officia.
10035,47931,Et sunt unde consequatur architecto eos fuga officia.1
20035,47932,Et sunt unde consequatur architecto eos fuga officia.2
30035,47933,Et sunt unde consequatur architecto eos fuga officia.3
40035,47934,Et sunt unde consequatur architecto eos fuga officia.4
36,27203,Voluptatem quae non earum officiis consectetur eos ea.
10036,272031,Voluptatem quae non earum officiis consectetur eos ea.1
20036,272032,Voluptatem quae non earum officiis consectetur eos ea.2
30036,272033,Voluptatem quae non earum officiis consectetur eos ea.3
40036,272034,Voluptatem quae non earum officiis consectetur eos ea.4
37,4610,Laudantium quas quaerat vel ea blanditiis quis veritatis aperiam.
10037,46101,Laudantium quas quaerat vel ea blanditiis quis veritatis aperiam.1
20037,46102,Laudantium quas quaerat vel ea blanditiis quis veritatis aperiam.2
30037,46103,Laudantium quas quaerat vel ea blanditiis quis veritatis aperiam.3
40037,46104,Laudantium quas quaerat vel ea blanditiis quis veritatis aperiam.4
38,10207,Repellat rem recusandae eligendi in.
10038,102071,Repellat rem recusandae eligendi in.1
20038,102072,Repellat rem recusandae eligendi in.2
30038,102073,Repellat rem recusandae eligendi in.3
40038,102074,Repellat rem recusandae eligendi in.4
39,18600,Et neque harum qui dolorem inventore id id.
10039,186001,Et neque harum qui dolorem inventore id id.1
20039,186002,Et neque harum qui dolorem inventore id id.2
30039,186003,Et neque harum qui dolorem inventore id id.3
40039,186004,Et neque harum qui dolorem inventore id id.4
40,29464,Velit qui laboriosam aut voluptate at reprehenderit ipsum.
10040,294641,Velit qui laboriosam aut voluptate at reprehenderit ipsum.1
20040,294642,Velit qui laboriosam aut voluptate at reprehenderit ipsum.2
30040,294643,Velit qui laboriosam aut voluptate at reprehenderit ipsum.3
40040,294644,Velit qui laboriosam aut voluptate at reprehenderit ipsum.4
41,20110,Qui sed voluptas eveniet unde velit ut aut.
10041,201101,Qui sed voluptas eveniet unde velit ut aut.1
20041,201102,Qui sed voluptas eveniet unde velit ut aut.2
30041,201103,Qui sed voluptas eveniet unde velit ut aut.3
40041,201104,Qui sed voluptas eveniet unde velit ut aut.4
42,2604,Ut quasi voluptatem ipsa facilis.
10042,26041,Ut quasi voluptatem ipsa facilis.1
20042,26042,Ut quasi voluptatem ipsa facilis.2
30042,26043,Ut quasi voluptatem ipsa facilis.3
40042,26044,Ut quasi voluptatem ipsa facilis.4
43,16731,Tempore cum et amet alias quod eius repellendus aut.
10043,167311,Tempore cum et amet alias quod eius repellendus aut.1
20043,167312,Tempore cum et amet alias quod eius repellendus aut.2
30043,167313,Tempore cum et amet alias quod eius repellendus aut.3
40043,167314,Tempore cum et amet alias quod eius repellendus aut.4
44,18674,Illo facilis ullam voluptatem.
10044,186741,Illo facilis ullam voluptatem.1
20044,186742,Illo facilis ullam voluptatem.2
30044,186743,Illo facilis ullam voluptatem.3
40044,186744,Illo facilis ullam voluptatem.4
45,3573,Possimus quo est asperiores tempora ratione.
10045,35731,Possimus quo est asperiores tempora ratione.1
20045,35732,Possimus quo est asperiores tempora ratione.2
30045,35733,Possimus quo est asperiores tempora ratione.3
40045,35734,Possimus quo est asperiores tempora ratione.4
46,6060,Harum sit aut et impedit sit ipsum.
10046,60601,Harum sit aut et impedit sit ipsum.1
20046,60602,Harum sit aut et impedit sit ipsum.2
30046,60603,Harum sit aut et impedit sit ipsum.3
40046,60604,Harum sit aut et impedit sit ipsum.4
47,6088,Blanditiis voluptas molestiae nihil sed et.
10047,60881,Blanditiis voluptas molestiae nihil sed et.1
20047,60882,Blanditiis voluptas molestiae nihil sed et.2
30047,60883,Blanditiis voluptas molestiae nihil sed et.3
40047,60884,Blanditiis voluptas molestiae nihil sed et.4
48,28558,Quod dolorem quas rem dignissimos.
10048,285581,Quod dolorem quas rem dignissimos.1
20048,285582,Quod dolorem quas rem dignissimos.2
30048,285583,Quod dolorem quas rem dignissimos.3
40048,285584,Quod dolorem quas rem dignissimos.4
49,22477,Quo porro explicabo ea eaque omnis quam est.
10049,224771,Quo porro explicabo ea eaque omnis quam est.1
20049,224772,Quo porro explicabo ea eaque omnis quam est.2
30049,224773,Quo porro explicabo ea eaque omnis quam est.3
40049,224774,Quo porro explicabo ea eaque omnis quam est.4
50,19005,Est aut aspernatur eos hic ea velit dolorum.
10050,190051,Est aut aspernatur eos hic ea velit dolorum.1
20050,190052,Est aut aspernatur eos hic ea velit dolorum.2
30050,190053,Est aut aspernatur eos hic ea velit dolorum.3
40050,190054,Est aut aspernatur eos hic ea velit dolorum.4
51,5052,Aut dolore autem dolor dolorem.
10051,50521,Aut dolore autem dolor dolorem.1
20051,50522,Aut dolore autem dolor dolorem.2
30051,50523,Aut dolore autem dolor dolorem.3
40051,50524,Aut dolore autem dolor dolorem.4
52,22772,Et ducimus sequi eius.
10052,227721,Et ducimus sequi eius.1
20052,227722,Et ducimus sequi eius.2
30052,227723,Et ducimus sequi eius.3
40052,227724,Et ducimus sequi eius.4
53,6260,Officia est enim aliquid aut.
10053,62601,Officia est enim aliquid aut.1
20053,62602,Officia est enim aliquid aut.2
30053,62603,Officia est enim aliquid aut.3
40053,62604,Officia est enim aliquid aut.4
54,9944,Voluptatem vel voluptatum tempora officiis.
10054,99441,Voluptatem vel voluptatum tempora officiis.1
20054,99442,Voluptatem vel voluptatum tempora officiis.2
30054,99443,Voluptatem vel voluptatum tempora officiis.3
40054,99444,Voluptatem vel voluptatum tempora officiis.4
55,18959,Et fugit iure perspiciatis dolores.
10055,189591,Et fugit iure perspiciatis dolores.1
20055,189592,Et fugit iure perspiciatis dolores.2
30055,189593,Et fugit iure perspiciatis dolores.3
40055,189594,Et fugit iure perspiciatis dolores.4
56,22360,Id laudantium eius libero quam est.
10056,223601,Id laudantium eius libero quam est.1
20056,223602,Id laudantium eius libero quam est.2
30056,223603,Id laudantium eius libero quam est.3
40056,223604,Id laudantium eius libero quam est.4
57,16743,Qui in quia nam error voluptatem recusandae eligendi.
10057,167431,Qui in quia nam error voluptatem recusandae eligendi.1
20057,167432,Qui in quia nam error voluptatem recusandae eligendi.2
30057,167433,Qui in quia nam error voluptatem recusandae eligendi.3
40057,167434,Qui in quia nam error voluptatem recusandae eligendi.4
58,23636,Ut totam officia sed eos sed quia sed.
10058,236361,Ut totam officia sed eos sed quia sed.1
20058,236362,Ut totam officia sed eos sed quia sed.2
30058,236363,Ut totam officia sed eos sed quia sed.3
40058,236364,Ut totam officia sed eos sed quia sed.4
59,14805,Voluptas laboriosam odio aut cumque.
10059,148051,Voluptas laboriosam odio aut cumque.1
20059,148052,Voluptas laboriosam odio aut cumque.2
30059,148053,Voluptas laboriosam odio aut cumque.3
40059,148054,Voluptas laboriosam odio aut cumque.4
60,29929,Voluptatem quae voluptates aut et.
10060,299291,Voluptatem quae voluptates aut et.1
20060,299292,Voluptatem quae voluptates aut et.2
30060,299293,Voluptatem quae voluptates aut et.3
40060,299294,Voluptatem quae voluptates aut et.4
61,21510,Et non error voluptatem nemo eum.
10061,215101,Et non error voluptatem nemo eum.1
20061,215102,Et non error voluptatem nemo eum.2
30061,215103,Et non error voluptatem nemo eum.3
40061,215104,Et non error voluptatem nemo eum.4
62,21861,Quibusdam voluptas voluptatem aut quia quibusdam nemo.
10062,218611,Quibusdam voluptas voluptatem aut quia quibusdam nemo.1
20062,218612,Quibusdam voluptas voluptatem aut quia quibusdam nemo.2
30062,218613,Quibusdam voluptas voluptatem aut quia quibusdam nemo.3
40062,218614,Quibusdam voluptas voluptatem aut quia quibusdam nemo.4
63,28535,Accusantium quo quas ea qui molestiae.
10063,285351,Accusantium quo quas ea qui molestiae.1
20063,285352,Accusantium quo quas ea qui molestiae.2
30063,285353,Accusantium quo quas ea qui molestiae.3
40063,285354,Accusantium quo quas ea qui molestiae.4
64,28449,Perspiciatis nesciunt laudantium qui quas excepturi odit.
10064,284491,Perspiciatis nesciunt laudantium qui quas excepturi odit.1
20064,284492,Perspiciatis nesciunt laudantium qui quas excepturi odit.2
30064,284493,Perspiciatis nesciunt laudantium qui quas excepturi odit.3
40064,284494,Perspiciatis nesciunt laudantium qui quas excepturi odit.4
65,22910,Quas et et perferendis numquam sed praesentium.
10065,229101,Quas et et perferendis numquam sed praesentium.1
20065,229102,Quas et et perferendis numquam sed praesentium.2
30065,229103,Quas et et perferendis numquam sed praesentium.3
40065,229104,Quas et et perferendis numquam sed praesentium.4
66,26916,Asperiores iure qui sint qui veritatis dignissimos.
10066,269161,Asperiores iure qui sint qui veritatis dignissimos.1
20066,269162,Asperiores iure qui sint qui veritatis dignissimos.2
30066,269163,Asperiores iure qui sint qui veritatis dignissimos.3
40066,269164,Asperiores iure qui sint qui veritatis dignissimos.4
67,25108,Qui quidem vel dicta enim.
10067,251081,Qui quidem vel dicta enim.1
20067,251082,Qui quidem vel dicta enim.2
30067,251083,Qui quidem vel dicta enim.3
40067,251084,Qui quidem vel dicta enim.4
68,19021,Est dicta alias iusto vitae.
10068,190211,Est dicta alias iusto vitae.1
20068,190212,Est dicta alias iusto vitae.2
30068,190213,Est dicta alias iusto vitae.3
40068,190214,Est dicta alias iusto vitae.4
69,17308,Accusamus cum illo similique id tempora.
10069,173081,Accusamus cum illo similique id tempora.1
20069,173082,Accusamus cum illo similique id tempora.2
30069,173083,Accusamus cum illo similique id tempora.3
40069,173084,Accusamus cum illo similique id tempora.4
70,23771,Modi iusto similique eos eius.
10070,237711,Modi iusto similique eos eius.1
20070,237712,Modi iusto similique eos eius.2
30070,237713,Modi iusto similique eos eius.3
40070,237714,Modi iusto similique eos eius.4
71,16262,Voluptatem est commodi maiores praesentium ad et.
10071,162621,Voluptatem est commodi maiores praesentium ad et.1
20071,162622,Voluptatem est commodi maiores praesentium ad et.2
30071,162623,Voluptatem est commodi maiores praesentium ad et.3
40071,162624,Voluptatem est commodi maiores praesentium ad et.4
72,13517,Occaecati et voluptas deserunt voluptatum quia eum a.
10072,135171,Occaecati et voluptas deserunt voluptatum quia eum a.1
20072,135172,Occaecati et voluptas deserunt voluptatum quia eum a.2
30072,135173,Occaecati et voluptas deserunt voluptatum quia eum a.3
40072,135174,Occaecati et voluptas deserunt voluptatum quia eum a.4
73,477,Enim quaerat eum ut labore soluta dolorem.
10073,4771,Enim quaerat eum ut labore soluta dolorem.1
20073,4772,Enim quaerat eum ut labore soluta dolorem.2
30073,4773,Enim quaerat eum ut labore soluta dolorem.3
40073,4774,Enim quaerat eum ut labore soluta dolorem.4
74,822,Voluptate omnis assumenda dolores officiis et aperiam et est.
10074,8221,Voluptate omnis assumenda dolores officiis et aperiam et est.1
20074,8222,Voluptate omnis assumenda dolores officiis et aperiam et est.2
30074,8223,Voluptate omnis assumenda dolores officiis et aperiam et est.3
40074,8224,Voluptate omnis assumenda dolores officiis et aperiam et est.4
75,21208,Doloribus rem iusto qui quibusdam mollitia soluta possimus.
10075,212081,Doloribus rem iusto qui quibusdam mollitia soluta possimus.1
20075,212082,Doloribus rem iusto qui quibusdam mollitia soluta possimus.2
30075,212083,Doloribus rem iusto qui quibusdam mollitia soluta possimus.3
40075,212084,Doloribus rem iusto qui quibusdam mollitia soluta possimus.4
76,1432,Veritatis accusamus voluptatibus rerum deserunt voluptatum.
10076,14321,Veritatis accusamus voluptatibus rerum deserunt voluptatum.1
20076,14322,Veritatis accusamus voluptatibus rerum deserunt voluptatum.2
30076,14323,Veritatis accusamus voluptatibus rerum deserunt voluptatum.3
40076,14324,Veritatis accusamus voluptatibus rerum deserunt voluptatum.4
77,14409,Quia animi nisi corrupti architecto cum sint repellendus.
10077,144091,Quia animi nisi corrupti architecto cum sint repellendus.1
20077,144092,Quia animi nisi corrupti architecto cum sint repellendus.2
30077,144093,Quia animi nisi corrupti architecto cum sint repellendus.3
40077,144094,Quia animi nisi corrupti architecto cum sint repellendus.4
78,26149,Qui eos occaecati voluptatibus qui veritatis eum.
10078,261491,Qui eos occaecati voluptatibus qui veritatis eum.1
20078,261492,Qui eos occaecati voluptatibus qui veritatis eum.2
30078,261493,Qui eos occaecati voluptatibus qui veritatis eum.3
40078,261494,Qui eos occaecati voluptatibus qui veritatis eum.4
79,8758,Et dolores enim molestiae mollitia maxime natus debitis velit.
10079,87581,Et dolores enim molestiae mollitia maxime natus debitis velit.1
20079,87582,Et dolores enim molestiae mollitia maxime natus debitis velit.2
30079,87583,Et dolores enim molestiae mollitia maxime natus debitis velit.3
40079,87584,Et dolores enim molestiae mollitia maxime natus debitis velit.4
80,15818,Non sapiente id ipsam eius.
10080,158181,Non sapiente id ipsam eius.1
20080,158182,Non sapiente id ipsam eius.2
30080,158183,Non sapiente id ipsam eius.3
40080,158184,Non sapiente id ipsam eius.4
81,14580,Sed odio quidem repudiandae harum corrupti.
10081,145801,Sed odio quidem repudiandae harum corrupti.1
20081,145802,Sed odio quidem repudiandae harum corrupti.2
30081,145803,Sed odio quidem repudiandae harum corrupti.3
40081,145804,Sed odio quidem repudiandae harum corrupti.4
82,7311,Rem non nesciunt sequi laborum expedita consequuntur.
10082,73111,Rem non nesciunt sequi laborum expedita consequuntur.1
20082,73112,Rem non nesciunt sequi laborum expedita consequuntur.2
30082,73113,Rem non nesciunt sequi laborum expedita consequuntur.3
40082,73114,Rem non nesciunt sequi laborum expedita consequuntur.4
83,23401,Consequatur est consequatur numquam debitis.
10083,234011,Consequatur est consequatur numquam debitis.1
20083,234012,Consequatur est consequatur numquam debitis.2
30083,234013,Consequatur est consequatur numquam debitis.3
40083,234014,Consequatur est consequatur numquam debitis.4
84,17636,Quibusdam consequuntur adipisci voluptatum aut suscipit nam illo.
10084,176361,Quibusdam consequuntur adipisci voluptatum aut suscipit nam illo.1
20084,176362,Quibusdam consequuntur adipisci voluptatum aut suscipit nam illo.2
30084,176363,Quibusdam consequuntur adipisci voluptatum aut suscipit nam illo.3
40084,176364,Quibusdam consequuntur adipisci voluptatum aut suscipit nam illo.4
85,4622,Quidem est quis vel aliquam mollitia est laboriosam autem.
10085,46221,Quidem est quis vel aliquam mollitia est laboriosam autem.1
20085,46222,Quidem est quis vel aliquam mollitia est laboriosam autem.2
30085,46223,Quidem est quis vel aliquam mollitia est laboriosam autem.3
40085,46224,Quidem est quis vel aliquam mollitia est laboriosam autem.4
86,8075,Aut vitae perspiciatis repellat et itaque id.
10086,80751,Aut vitae perspiciatis repellat et itaque id.1
20086,80752,Aut vitae perspiciatis repellat et itaque id.2
30086,80753,Aut vitae perspiciatis repellat et itaque id.3
40086,80754,Aut vitae perspiciatis repellat et itaque id.4
87,622,At debitis facere et facilis dicta minima.
10087,6221,At debitis facere et facilis dicta minima.1
20087,6222,At debitis facere et facilis dicta minima.2
30087,6223,At debitis facere et facilis dicta minima.3
40087,6224,At debitis facere et facilis dicta minima.4
88,20156,Deleniti officia sit quo sed reprehenderit est.
10088,201561,Deleniti officia sit quo sed reprehenderit est.1
20088,201562,Deleniti officia sit quo sed reprehenderit est.2
30088,201563,Deleniti officia sit quo sed reprehenderit est.3
40088,201564,Deleniti officia sit quo sed reprehenderit est.4
89,8731,Distinctio numquam ducimus quos quam adipisci enim animi.
10089,87311,Distinctio numquam ducimus quos quam adipisci enim animi.1
20089,87312,Distinctio numquam ducimus quos quam adipisci enim animi.2
30089,87313,Distinctio numquam ducimus quos quam adipisci enim animi.3
40089,87314,Distinctio numquam ducimus quos quam adipisci enim animi.4
90,9899,Quasi et et modi.
10090,98991,Quasi et et modi.1
20090,98992,Quasi et et modi.2
30090,98993,Quasi et et modi.3
40090,98994,Quasi et et modi.4
91,13463,Ut labore tempore consequatur similique sint qui et.
10091,134631,Ut labore tempore consequatur similique sint qui et.1
20091,134632,Ut labore tempore consequatur similique sint qui et.2
30091,134633,Ut labore tempore consequatur similique sint qui et.3
40091,134634,Ut labore tempore consequatur similique sint qui et.4
92,6946,Et et cumque rem aut numquam ab.
10092,69461,Et et cumque rem aut numquam ab.1
20092,69462,Et et cumque rem aut numquam ab.2
30092,69463,Et et cumque rem aut numquam ab.3
40092,69464,Et et cumque rem aut numquam ab.4
93,14294,Exercitationem ipsa placeat tempora earum.
10093,142941,Exercitationem ipsa placeat tempora earum.1
20093,142942,Exercitationem ipsa placeat tempora earum.2
30093,142943,Exercitationem ipsa placeat tempora earum.3
40093,142944,Exercitationem ipsa placeat tempora earum.4
94,27684,Quos neque voluptatem ipsa totam quod.
10094,276841,Quos neque voluptatem ipsa totam quod.1
20094,276842,Quos neque voluptatem ipsa totam quod.2
30094,276843,Quos neque voluptatem ipsa totam quod.3
40094,276844,Quos neque voluptatem ipsa totam quod.4
95,15038,Et beatae reprehenderit asperiores nihil.
10095,150381,Et beatae reprehenderit asperiores nihil.1
20095,150382,Et beatae reprehenderit asperiores nihil.2
30095,150383,Et beatae reprehenderit asperiores nihil.3
40095,150384,Et beatae reprehenderit asperiores nihil.4
96,19210,Tenetur quidem soluta ut laborum unde.
10096,192101,Tenetur quidem soluta ut laborum unde.1
20096,192102,Tenetur quidem soluta ut laborum unde.2
30096,192103,Tenetur quidem soluta ut laborum unde.3
40096,192104,Tenetur quidem soluta ut laborum unde.4
97,10236,Quidem dolorum dicta sit ea sed illo.
10097,102361,Quidem dolorum dicta sit ea sed illo.1
20097,102362,Quidem dolorum dicta sit ea sed illo.2
30097,102363,Quidem dolorum dicta sit ea sed illo.3
40097,102364,Quidem dolorum dicta sit ea sed illo.4
98,4478,Sit exercitationem fugit deserunt animi.
10098,44781,Sit exercitationem fugit deserunt animi.1
20098,44782,Sit exercitationem fugit deserunt animi.2
30098,44783,Sit exercitationem fugit deserunt animi.3
40098,44784,Sit exercitationem fugit deserunt animi.4
99,14278,Laborum ut ipsam maiores temporibus voluptatibus repellat saepe.
10099,142781,Laborum ut ipsam maiores temporibus voluptatibus repellat saepe.1
20099,142782,Laborum ut ipsam maiores temporibus voluptatibus repellat saepe.2
30099,142783,Laborum ut ipsam maiores temporibus voluptatibus repellat saepe.3
40099,142784,Laborum ut ipsam maiores temporibus voluptatibus repellat saepe.4
100,29372,Earum exercitationem nam quo voluptas.
10100,293721,Earum exercitationem nam quo voluptas.1
20100,293722,Earum exercitationem nam quo voluptas.2
30100,293723,Earum exercitationem nam quo voluptas.3
40100,293724,Earum exercitationem nam quo voluptas.4
101,26227,Est ullam praesentium minima modi quasi fugit soluta.
10101,262271,Est ullam praesentium minima modi quasi fugit soluta.1
20101,262272,Est ullam praesentium minima modi quasi fugit soluta.2
30101,262273,Est ullam praesentium minima modi quasi fugit soluta.3
40101,262274,Est ullam praesentium minima modi quasi fugit soluta.4
102,13128,Voluptates et sed omnis.
10102,131281,Voluptates et sed omnis.1
20102,131282,Voluptates et sed omnis.2
30102,131283,Voluptates et sed omnis.3
