location_code,actual_order_id,delivery_status_code,driver_employee_id,truck_id,delivery_date
aaxq,17,et,17,17,2008-08-05 09:10:00
aaxq1,10017,et1,10017,10017,2008-08-05 09:10:00
aaxq2,20017,et2,20017,20017,2008-08-05 09:10:00
aaxq3,30017,et3,30017,30017,2008-08-05 09:10:00
aaxq4,40017,et4,40017,40017,2008-08-05 09:10:00
abge,18,porro,18,18,2015-04-11 21:13:31
abge1,10018,porro1,10018,10018,2015-04-11 21:13:31
abge2,20018,porro2,20018,20018,2015-04-11 21:13:31
abge3,30018,porro3,30018,30018,2015-04-11 21:13:31
abge4,40018,porro4,40018,40018,2015-04-11 21:13:31
abio,19,qui,19,19,2002-08-27 22:39:51
abio1,10019,qui1,10019,10019,2002-08-27 22:39:51
abio2,20019,qui2,20019,20019,2002-08-27 22:39:51
abio3,30019,qui3,30019,30019,2002-08-27 22:39:51
abio4,40019,qui4,40019,40019,2002-08-27 22:39:51
abjp,20,fuga,20,20,1997-01-17 18:36:15
abjp1,10020,fuga1,10020,10020,1997-01-17 18:36:15
abjp2,20020,fuga2,20020,20020,1997-01-17 18:36:15
abjp3,30020,fuga3,30020,30020,1997-01-17 18:36:15
abjp4,40020,fuga4,40020,40020,1997-01-17 18:36:15
abpq,21,quos,21,21,2009-01-04 23:58:28
abpq1,10021,quos1,10021,10021,2009-01-04 23:58:28
abpq2,20021,quos2,20021,20021,2009-01-04 23:58:28
abpq3,30021,quos3,30021,30021,2009-01-04 23:58:28
abpq4,40021,quos4,40021,40021,2009-01-04 23:58:28
abpr,22,molestiae,22,22,1991-06-04 20:38:36
abpr1,10022,molestiae1,10022,10022,1991-06-04 20:38:36
abpr2,20022,molestiae2,20022,20022,1991-06-04 20:38:36
abpr3,30022,molestiae3,30022,30022,1991-06-04 20:38:36
abpr4,40022,molestiae4,40022,40022,1991-06-04 20:38:36
abqe,23,rerum,23,23,2013-10-15 10:11:29
abqe1,10023,rerum1,10023,10023,2013-10-15 10:11:29
abqe2,20023,rerum2,20023,20023,2013-10-15 10:11:29
abqe3,30023,rerum3,30023,30023,2013-10-15 10:11:29
abqe4,40023,rerum4,40023,40023,2013-10-15 10:11:29
abqj,24,dolor,24,24,2022-05-21 17:51:37
abqj1,10024,dolor1,10024,10024,2022-05-21 17:51:37
abqj2,20024,dolor2,20024,20024,2022-05-21 17:51:37
abqj3,30024,dolor3,30024,30024,2022-05-21 17:51:37
abqj4,40024,dolor4,40024,40024,2022-05-21 17:51:37
abtj,25,voluptas,25,25,2015-11-19 14:15:54
abtj1,10025,voluptas1,10025,10025,2015-11-19 14:15:54
abtj2,20025,voluptas2,20025,20025,2015-11-19 14:15:54
abtj3,30025,voluptas3,30025,30025,2015-11-19 14:15:54
abtj4,40025,voluptas4,40025,40025,2015-11-19 14:15:54
abuk,26,qui,26,26,1977-01-08 11:12:07
abuk1,10026,qui1,10026,10026,1977-01-08 11:12:07
abuk2,20026,qui2,20026,20026,1977-01-08 11:12:07
abuk3,30026,qui3,30026,30026,1977-01-08 11:12:07
abuk4,40026,qui4,40026,40026,1977-01-08 11:12:07
abxx,27,quia,27,27,1985-03-16 01:15:54
abxx1,10027,quia1,10027,10027,1985-03-16 01:15:54
abxx2,20027,quia2,20027,20027,1985-03-16 01:15:54
abxx3,30027,quia3,30027,30027,1985-03-16 01:15:54
abxx4,40027,quia4,40027,40027,1985-03-16 01:15:54
abzg,28,suscipit,28,28,1990-01-19 22:50:26
abzg1,10028,suscipit1,10028,10028,1990-01-19 22:50:26
abzg2,20028,suscipit2,20028,20028,1990-01-19 22:50:26
abzg3,30028,suscipit3,30028,30028,1990-01-19 22:50:26
abzg4,40028,suscipit4,40028,40028,1990-01-19 22:50:26
acag,29,corporis,29,29,1977-06-21 15:23:47
acag1,10029,corporis1,10029,10029,1977-06-21 15:23:47
acag2,20029,corporis2,20029,20029,1977-06-21 15:23:47
acag3,30029,corporis3,30029,30029,1977-06-21 15:23:47
acag4,40029,corporis4,40029,40029,1977-06-21 15:23:47
acam,30,dolorem,30,30,1997-06-04 22:23:30
acam1,10030,dolorem1,10030,10030,1997-06-04 22:23:30
acam2,20030,dolorem2,20030,20030,1997-06-04 22:23:30
acam3,30030,dolorem3,30030,30030,1997-06-04 22:23:30
acam4,40030,dolorem4,40030,40030,1997-06-04 22:23:30
acbn,31,voluptatem,31,31,1971-06-24 06:08:14
acbn1,10031,voluptatem1,10031,10031,1971-06-24 06:08:14
acbn2,20031,voluptatem2,20031,20031,1971-06-24 06:08:14
acbn3,30031,voluptatem3,30031,30031,1971-06-24 06:08:14
acbn4,40031,voluptatem4,40031,40031,1971-06-24 06:08:14
acce,32,in,32,32,2005-09-29 09:16:03
acce1,10032,in1,10032,10032,2005-09-29 09:16:03
acce2,20032,in2,20032,20032,2005-09-29 09:16:03
acce3,30032,in3,30032,30032,2005-09-29 09:16:03
acce4,40032,in4,40032,40032,2005-09-29 09:16:03
ackr,33,est,33,33,1981-03-05 16:41:18
ackr1,10033,est1,10033,10033,1981-03-05 16:41:18
ackr2,20033,est2,20033,20033,1981-03-05 16:41:18
ackr3,30033,est3,30033,30033,1981-03-05 16:41:18
ackr4,40033,est4,40033,40033,1981-03-05 16:41:18
acoc,34,vel,34,34,1997-08-01 08:50:04
acoc1,10034,vel1,10034,10034,1997-08-01 08:50:04
acoc2,20034,vel2,20034,20034,1997-08-01 08:50:04
acoc3,30034,vel3,30034,30034,1997-08-01 08:50:04
acoc4,40034,vel4,40034,40034,1997-08-01 08:50:04
acok,35,eaque,35,35,2005-02-02 04:58:27
acok1,10035,eaque1,10035,10035,2005-02-02 04:58:27
acok2,20035,eaque2,20035,20035,2005-02-02 04:58:27
acok3,30035,eaque3,30035,30035,2005-02-02 04:58:27
acok4,40035,eaque4,40035,40035,2005-02-02 04:58:27
acot,36,repellat,36,36,2014-07-28 13:48:10
acot1,10036,repellat1,10036,10036,2014-07-28 13:48:10
acot2,20036,repellat2,20036,20036,2014-07-28 13:48:10
acot3,30036,repellat3,30036,30036,2014-07-28 13:48:10
acot4,40036,repellat4,40036,40036,2014-07-28 13:48:10
acpg,37,occaecati,37,37,2025-08-06 11:03:49
acpg1,10037,occaecati1,10037,10037,2025-08-06 11:03:49
acpg2,20037,occaecati2,20037,20037,2025-08-06 11:03:49
acpg3,30037,occaecati3,30037,30037,2025-08-06 11:03:49
acpg4,40037,occaecati4,40037,40037,2025-08-06 11:03:49
acpl,38,cum,38,38,2019-05-03 05:58:02
acpl1,10038,cum1,10038,10038,2019-05-03 05:58:02
acpl2,20038,cum2,20038,20038,2019-05-03 05:58:02
acpl3,30038,cum3,30038,30038,2019-05-03 05:58:02
acpl4,40038,cum4,40038,40038,2019-05-03 05:58:02
acrm,39,similique,39,39,2015-05-26 11:44:38
acrm1,10039,similique1,10039,10039,2015-05-26 11:44:38
acrm2,20039,similique2,20039,20039,2015-05-26 11:44:38
acrm3,30039,similique3,30039,30039,2015-05-26 11:44:38
acrm4,40039,similique4,40039,40039,2015-05-26 11:44:38
acsv,40,delectus,40,40,1980-12-31 04:45:32
acsv1,10040,delectus1,10040,10040,1980-12-31 04:45:32
acsv2,20040,delectus2,20040,20040,1980-12-31 04:45:32
acsv3,30040,delectus3,30040,30040,1980-12-31 04:45:32
acsv4,40040,delectus4,40040,40040,1980-12-31 04:45:32
acvn,41,eos,41,41,2024-04-03 07:42:38
acvn1,10041,eos1,10041,10041,2024-04-03 07:42:38
acvn2,20041,eos2,20041,20041,2024-04-03 07:42:38
acvn3,30041,eos3,30041,30041,2024-04-03 07:42:38
acvn4,40041,eos4,40041,40041,2024-04-03 07:42:38
acwi,42,aliquid,42,42,2011-10-12 12:45:13
acwi1,10042,aliquid1,10042,10042,2011-10-12 12:45:13
acwi2,20042,aliquid2,20042,20042,2011-10-12 12:45:13
acwi3,30042,aliquid3,30042,30042,2011-10-12 12:45:13
acwi4,40042,aliquid4,40042,40042,2011-10-12 12:45:13
acxu,43,aut,43,43,2017-08-18 19:00:18
acxu1,10043,aut1,10043,10043,2017-08-18 19:00:18
acxu2,20043,aut2,20043,20043,2017-08-18 19:00:18
acxu3,30043,aut3,30043,30043,2017-08-18 19:00:18
acxu4,40043,aut4,40043,40043,2017-08-18 19:00:18
aczr,44,sit,44,44,1993-12-14 22:27:09
aczr1,10044,sit1,10044,10044,1993-12-14 22:27:09
aczr2,20044,sit2,20044,20044,1993-12-14 22:27:09
aczr3,30044,sit3,30044,30044,1993-12-14 22:27:09
aczr4,40044,sit4,40044,40044,1993-12-14 22:27:09
adgc,45,veniam,45,45,1973-08-09 12:02:31
adgc1,10045,veniam1,10045,10045,1973-08-09 12:02:31
adgc2,20045,veniam2,20045,20045,1973-08-09 12:02:31
adgc3,30045,veniam3,30045,30045,1973-08-09 12:02:31
adgc4,40045,veniam4,40045,40045,1973-08-09 12:02:31
adgm,46,earum,46,46,2015-10-27 00:57:51
adgm1,10046,earum1,10046,10046,2015-10-27 00:57:51
adgm2,20046,earum2,20046,20046,2015-10-27 00:57:51
adgm3,30046,earum3,30046,30046,2015-10-27 00:57:51
adgm4,40046,earum4,40046,40046,2015-10-27 00:57:51
adho,47,alias,47,47,1980-10-22 00:25:00
adho1,10047,alias1,10047,10047,1980-10-22 00:25:00
adho2,20047,alias2,20047,20047,1980-10-22 00:25:00
adho3,30047,alias3,30047,30047,1980-10-22 00:25:00
adho4,40047,alias4,40047,40047,1980-10-22 00:25:00
adki,48,tenetur,48,48,1998-06-24 17:14:10
adki1,10048,tenetur1,10048,10048,1998-06-24 17:14:10
adki2,20048,tenetur2,20048,20048,1998-06-24 17:14:10
adki3,30048,tenetur3,30048,30048,1998-06-24 17:14:10
adki4,40048,tenetur4,40048,40048,1998-06-24 17:14:10
admd,49,libero,49,49,2004-09-14 00:50:00
admd1,10049,libero1,10049,10049,2004-09-14 00:50:00
admd2,20049,libero2,20049,20049,2004-09-14 00:50:00
admd3,30049,libero3,30049,30049,2004-09-14 00:50:00
admd4,40049,libero4,40049,40049,2004-09-14 00:50:00
admz,50,rem,50,50,1995-03-05 02:11:30
admz1,10050,rem1,10050,10050,1995-03-05 02:11:30
admz2,20050,rem2,20050,20050,1995-03-05 02:11:30
admz3,30050,rem3,30050,30050,1995-03-05 02:11:30
admz4,40050,rem4,40050,40050,1995-03-05 02:11:30
adnl,51,ratione,51,51,1978-06-16 05:59:11
adnl1,10051,ratione1,10051,10051,1978-06-16 05:59:11
adnl2,20051,ratione2,20051,20051,1978-06-16 05:59:11
adnl3,30051,ratione3,30051,30051,1978-06-16 05:59:11
adnl4,40051,ratione4,40051,40051,1978-06-16 05:59:11
adny,52,aut,52,52,2015-02-28 16:21:08
adny1,10052,aut1,10052,10052,2015-02-28 16:21:08
adny2,20052,aut2,20052,20052,2015-02-28 16:21:08
adny3,30052,aut3,30052,30052,2015-02-28 16:21:08
adny4,40052,aut4,40052,40052,2015-02-28 16:21:08
adop,53,necessitat,53,53,2000-07-09 23:50:08
adop1,10053,necessitat1,10053,10053,2000-07-09 23:50:08
adop2,20053,necessitat2,20053,20053,2000-07-09 23:50:08
adop3,30053,necessitat3,30053,30053,2000-07-09 23:50:08
adop4,40053,necessitat4,40053,40053,2000-07-09 23:50:08
adqy,54,numquam,54,54,2025-12-28 11:39:51
adqy1,10054,numquam1,10054,10054,2025-12-28 11:39:51
adqy2,20054,numquam2,20054,20054,2025-12-28 11:39:51
adqy3,30054,numquam3,30054,30054,2025-12-28 11:39:51
adqy4,40054,numquam4,40054,40054,2025-12-28 11:39:51
adrn,55,magni,55,55,1991-08-23 20:32:14
adrn1,10055,magni1,10055,10055,1991-08-23 20:32:14
adrn2,20055,magni2,20055,20055,1991-08-23 20:32:14
adrn3,30055,magni3,30055,30055,1991-08-23 20:32:14
adrn4,40055,magni4,40055,40055,1991-08-23 20:32:14
adwv,56,corrupti,56,56,2003-03-30 13:51:00
adwv1,10056,corrupti1,10056,10056,2003-03-30 13:51:00
adwv2,20056,corrupti2,20056,20056,2003-03-30 13:51:00
adwv3,30056,corrupti3,30056,30056,2003-03-30 13:51:00
adwv4,40056,corrupti4,40056,40056,2003-03-30 13:51:00
adyc,57,eos,57,57,1978-07-25 23:12:15
adyc1,10057,eos1,10057,10057,1978-07-25 23:12:15
adyc2,20057,eos2,20057,20057,1978-07-25 23:12:15
adyc3,30057,eos3,30057,30057,1978-07-25 23:12:15
adyc4,40057,eos4,40057,40057,1978-07-25 23:12:15
aeah,58,nihil,58,58,1993-10-04 21:27:38
aeah1,10058,nihil1,10058,10058,1993-10-04 21:27:38
aeah2,20058,nihil2,20058,20058,1993-10-04 21:27:38
aeah3,30058,nihil3,30058,30058,1993-10-04 21:27:38
aeah4,40058,nihil4,40058,40058,1993-10-04 21:27:38
aecx,59,perferendi,59,59,2011-07-18 23:32:28
aecx1,10059,perferendi1,10059,10059,2011-07-18 23:32:28
aecx2,20059,perferendi2,20059,20059,2011-07-18 23:32:28
aecx3,30059,perferendi3,30059,30059,2011-07-18 23:32:28
aecx4,40059,perferendi4,40059,40059,2011-07-18 23:32:28
aedc,60,inventore,60,60,1975-07-24 14:54:21
aedc1,10060,inventore1,10060,10060,1975-07-24 14:54:21
aedc2,20060,inventore2,20060,20060,1975-07-24 14:54:21
aedc3,30060,inventore3,30060,30060,1975-07-24 14:54:21
aedc4,40060,inventore4,40060,40060,1975-07-24 14:54:21
aeea,61,temporibus,61,61,1999-10-12 14:35:41
aeea1,10061,temporibus1,10061,10061,1999-10-12 14:35:41
aeea2,20061,temporibus2,20061,20061,1999-10-12 14:35:41
aeea3,30061,temporibus3,30061,30061,1999-10-12 14:35:41
aeea4,40061,temporibus4,40061,40061,1999-10-12 14:35:41
aeha,62,repellat,62,62,1998-05-20 07:39:02
aeha1,10062,repellat1,10062,10062,1998-05-20 07:39:02
aeha2,20062,repellat2,20062,20062,1998-05-20 07:39:02
aeha3,30062,repellat3,30062,30062,1998-05-20 07:39:02
aeha4,40062,repellat4,40062,40062,1998-05-20 07:39:02
aejl,63,tempore,63,63,2011-10-30 13:02:27
aejl1,10063,tempore1,10063,10063,2011-10-30 13:02:27
aejl2,20063,tempore2,20063,20063,2011-10-30 13:02:27
aejl3,30063,tempore3,30063,30063,2011-10-30 13:02:27
aejl4,40063,tempore4,40063,40063,2011-10-30 13:02:27
aejm,64,voluptatem,64,64,2011-09-26 10:32:07
aejm1,10064,voluptatem1,10064,10064,2011-09-26 10:32:07
aejm2,20064,voluptatem2,20064,20064,2011-09-26 10:32:07
aejm3,30064,voluptatem3,30064,30064,2011-09-26 10:32:07
aejm4,40064,voluptatem4,40064,40064,2011-09-26 10:32:07
aekq,65,facilis,65,65,2020-10-29 06:04:32
aekq1,10065,facilis1,10065,10065,2020-10-29 06:04:32
aekq2,20065,facilis2,20065,20065,2020-10-29 06:04:32
aekq3,30065,facilis3,30065,30065,2020-10-29 06:04:32
aekq4,40065,facilis4,40065,40065,2020-10-29 06:04:32
aemf,66,voluptatum,66,66,2021-02-02 09:49:34
aemf1,10066,voluptatum1,10066,10066,2021-02-02 09:49:34
aemf2,20066,voluptatum2,20066,20066,2021-02-02 09:49:34
aemf3,30066,voluptatum3,30066,30066,2021-02-02 09:49:34
aemf4,40066,voluptatum4,40066,40066,2021-02-02 09:49:34
aems,67,impedit,67,67,1998-01-23 21:16:29
aems1,10067,impedit1,10067,10067,1998-01-23 21:16:29
aems2,20067,impedit2,20067,20067,1998-01-23 21:16:29
aems3,30067,impedit3,30067,30067,1998-01-23 21:16:29
aems4,40067,impedit4,40067,40067,1998-01-23 21:16:29
aenk,68,saepe,68,68,1990-09-16 08:36:47
aenk1,10068,saepe1,10068,10068,1990-09-16 08:36:47
aenk2,20068,saepe2,20068,20068,1990-09-16 08:36:47
aenk3,30068,saepe3,30068,30068,1990-09-16 08:36:47
aenk4,40068,saepe4,40068,40068,1990-09-16 08:36:47
aeov,69,ut,69,69,1995-08-21 08:41:10
aeov1,10069,ut1,10069,10069,1995-08-21 08:41:10
aeov2,20069,ut2,20069,20069,1995-08-21 08:41:10
aeov3,30069,ut3,30069,30069,1995-08-21 08:41:10
aeov4,40069,ut4,40069,40069,1995-08-21 08:41:10
aerp,70,voluptatem,70,70,2006-01-27 04:45:30
aerp1,10070,voluptatem1,10070,10070,2006-01-27 04:45:30
aerp2,20070,voluptatem2,20070,20070,2006-01-27 04:45:30
aerp3,30070,voluptatem3,30070,30070,2006-01-27 04:45:30
aerp4,40070,voluptatem4,40070,40070,2006-01-27 04:45:30
aese,71,eum,71,71,1975-09-24 21:19:08
aese1,10071,eum1,10071,10071,1975-09-24 21:19:08
aese2,20071,eum2,20071,20071,1975-09-24 21:19:08
aese3,30071,eum3,30071,30071,1975-09-24 21:19:08
aese4,40071,eum4,40071,40071,1975-09-24 21:19:08
aesm,72,et,72,72,1981-10-15 06:50:57
aesm1,10072,et1,10072,10072,1981-10-15 06:50:57
aesm2,20072,et2,20072,20072,1981-10-15 06:50:57
aesm3,30072,et3,30072,30072,1981-10-15 06:50:57
aesm4,40072,et4,40072,40072,1981-10-15 06:50:57
aesx,73,eius,73,73,1996-07-18 01:26:33
aesx1,10073,eius1,10073,10073,1996-07-18 01:26:33
aesx2,20073,eius2,20073,20073,1996-07-18 01:26:33
aesx3,30073,eius3,30073,30073,1996-07-18 01:26:33
aesx4,40073,eius4,40073,40073,1996-07-18 01:26:33
aeua,74,et,74,74,2004-07-16 06:37:06
aeua1,10074,et1,10074,10074,2004-07-16 06:37:06
aeua2,20074,et2,20074,20074,2004-07-16 06:37:06
aeua3,30074,et3,30074,30074,2004-07-16 06:37:06
aeua4,40074,et4,40074,40074,2004-07-16 06:37:06
aevz,75,magni,75,75,1993-07-21 06:01:42
aevz1,10075,magni1,10075,10075,1993-07-21 06:01:42
aevz2,20075,magni2,20075,20075,1993-07-21 06:01:42
aevz3,30075,magni3,30075,30075,1993-07-21 06:01:42
aevz4,40075,magni4,40075,40075,1993-07-21 06:01:42
aexy,76,est,76,76,2002-11-27 00:52:29
aexy1,10076,est1,10076,10076,2002-11-27 00:52:29
aexy2,20076,est2,20076,20076,2002-11-27 00:52:29
aexy3,30076,est3,30076,30076,2002-11-27 00:52:29
aexy4,40076,est4,40076,40076,2002-11-27 00:52:29
afdk,77,quia,77,77,2018-01-13 07:08:08
afdk1,10077,quia1,10077,10077,2018-01-13 07:08:08
afdk2,20077,quia2,20077,20077,2018-01-13 07:08:08
afdk3,30077,quia3,30077,30077,2018-01-13 07:08:08
afdk4,40077,quia4,40077,40077,2018-01-13 07:08:08
afeo,78,corrupti,78,78,1993-01-25 14:57:30
afeo1,10078,corrupti1,10078,10078,1993-01-25 14:57:30
afeo2,20078,corrupti2,20078,20078,1993-01-25 14:57:30
afeo3,30078,corrupti3,30078,30078,1993-01-25 14:57:30
afeo4,40078,corrupti4,40078,40078,1993-01-25 14:57:30
afeu,79,vel,79,79,2015-08-24 12:22:21
afeu1,10079,vel1,10079,10079,2015-08-24 12:22:21
afeu2,20079,vel2,20079,20079,2015-08-24 12:22:21
afeu3,30079,vel3,30079,30079,2015-08-24 12:22:21
afeu4,40079,vel4,40079,40079,2015-08-24 12:22:21
afhk,80,repudianda,80,80,1975-07-14 10:20:59
afhk1,10080,repudianda1,10080,10080,1975-07-14 10:20:59
afhk2,20080,repudianda2,20080,20080,1975-07-14 10:20:59
afhk3,30080,repudianda3,30080,30080,1975-07-14 10:20:59
afhk4,40080,repudianda4,40080,40080,1975-07-14 10:20:59
afjf,81,quia,81,81,1990-03-27 04:12:02
afjf1,10081,quia1,10081,10081,1990-03-27 04:12:02
afjf2,20081,quia2,20081,20081,1990-03-27 04:12:02
afjf3,30081,quia3,30081,30081,1990-03-27 04:12:02
afjf4,40081,quia4,40081,40081,1990-03-27 04:12:02
afjg,82,voluptates,82,82,2003-10-06 08:45:07
afjg1,10082,voluptates1,10082,10082,2003-10-06 08:45:07
afjg2,20082,voluptates2,20082,20082,2003-10-06 08:45:07
afjg3,30082,voluptates3,30082,30082,2003-10-06 08:45:07
afjg4,40082,voluptates4,40082,40082,2003-10-06 08:45:07
afjo,83,non,83,83,2013-08-01 08:38:30
afjo1,10083,non1,10083,10083,2013-08-01 08:38:30
afjo2,20083,non2,20083,20083,2013-08-01 08:38:30
afjo3,30083,non3,30083,30083,2013-08-01 08:38:30
afjo4,40083,non4,40083,40083,2013-08-01 08:38:30
afmv,84,et,84,84,2012-12-28 15:06:14
afmv1,10084,et1,10084,10084,2012-12-28 15:06:14
afmv2,20084,et2,20084,20084,2012-12-28 15:06:14
afmv3,30084,et3,30084,30084,2012-12-28 15:06:14
afmv4,40084,et4,40084,40084,2012-12-28 15:06:14
afoo,85,autem,85,85,2016-04-13 19:58:42
afoo1,10085,autem1,10085,10085,2016-04-13 19:58:42
afoo2,20085,autem2,20085,20085,2016-04-13 19:58:42
afoo3,30085,autem3,30085,30085,2016-04-13 19:58:42
afoo4,40085,autem4,40085,40085,2016-04-13 19:58:42
afti,86,tempora,86,86,2001-12-14 05:38:03
afti1,10086,tempora1,10086,10086,2001-12-14 05:38:03
afti2,20086,tempora2,20086,20086,2001-12-14 05:38:03
afti3,30086,tempora3,30086,30086,2001-12-14 05:38:03
afti4,40086,tempora4,40086,40086,2001-12-14 05:38:03
afwe,87,quidem,87,87,1976-07-27 06:40:02
afwe1,10087,quidem1,10087,10087,1976-07-27 06:40:02
afwe2,20087,quidem2,20087,20087,1976-07-27 06:40:02
afwe3,30087,quidem3,30087,30087,1976-07-27 06:40:02
afwe4,40087,quidem4,40087,40087,1976-07-27 06:40:02
afyh,88,a,88,88,1994-04-16 11:05:04
afyh1,10088,a1,10088,10088,1994-04-16 11:05:04
afyh2,20088,a2,20088,20088,1994-04-16 11:05:04
afyh3,30088,a3,30088,30088,1994-04-16 11:05:04
afyh4,40088,a4,40088,40088,1994-04-16 11:05:04
afyi,89,et,89,89,2019-05-28 10:05:02
afyi1,10089,et1,10089,10089,2019-05-28 10:05:02
afyi2,20089,et2,20089,20089,2019-05-28 10:05:02
afyi3,30089,et3,30089,30089,2019-05-28 10:05:02
afyi4,40089,et4,40089,40089,2019-05-28 10:05:02
agaa,90,non,90,90,2004-04-14 14:34:36
agaa1,10090,non1,10090,10090,2004-04-14 14:34:36
agaa2,20090,non2,20090,20090,2004-04-14 14:34:36
agaa3,30090,non3,30090,30090,2004-04-14 14:34:36
agaa4,40090,non4,40090,40090,2004-04-14 14:34:36
ager,91,ea,91,91,2009-04-20 06:07:59
ager1,10091,ea1,10091,10091,2009-04-20 06:07:59
ager2,20091,ea2,20091,20091,2009-04-20 06:07:59
ager3,30091,ea3,30091,30091,2009-04-20 06:07:59
ager4,40091,ea4,40091,40091,2009-04-20 06:07:59
agew,92,impedit,92,92,1997-05-12 22:11:52
