"Campus","Year","Faculty",
"326","1981","4247450",
"327","2016","4225.843",
"328","2011","51902176.94617",
"329","1982","214713.42",
"330","2021","40642126.815508",
"331","1990","38.4",
"332","1982","19493.108",
"333","2016","558257.864",
"334","2013","33158465.6077",
"335","1989","12963619.066979",
"336","2012","255872032.8",
"337","2021","295043375.17",
"338","2017","237602.1",
"339","2004","5.281438",
"340","1991","7686.7",
"341","2021","3440.73",
"342","1979","24400608",
"343","2002","4.9990128",
"344","2020","1.6",
"345","1996","26.3439864",
"346","1978","0",
"347","1993","1.352302",
"348","2021","7338.44403",
"349","1998","1022403.667188",
"350","1971","1583.6727719",
"351","2002","65.452",
"352","1993","0",
"353","1978","11095735.229",
"354","2016","767.7",
"355","2009","3277040.36",
"356","2019","36429.0931",
"357","1976","61.303441568",
"358","1981","615.8615",
"359","2019","108.74",
"360","2018","1067.4563748",
"361","2004","5.095723303",
"362","1988","370882671",
"363","1977","202.0778",
"364","2008","980.164544",
"365","1986","33.7",
"366","1976","0",
"367","2009","6129.72756",
"368","2004","70000143.96",
"369","1994","168891377.24347",
"370","1971","478.4761152",
"371","1981","282581",
"372","1983","2419272.497",
"373","2009","36605888.1836",
"374","2020","4729.335",
"375","1980","94875.81",
"376","2012","0",
"377","2014","24.259973",
"378","1974","1179918.5919387",
"379","1989","203.03",
"380","2013","0.440538",
"381","1981","306",
"382","1993","2.7",
"383","1982","534959826.5842",
"384","2011","2",
"385","2007","175754.6279193",
"386","2007","394843.3",
"387","1978","115020314.51804",
"388","1992","31.1018",
"389","2014","343046.9072826",
"390","2018","0.6268",
"391","1980","1361718.7176",
"392","1987","0.1221",
"393","1996","5442197.12096",
"394","1974","0",
"395","1988","296598.5685",
"396","2014","26128.009",
"397","1971","0.69",
"398","2006","0",
"399","2014","25221034.845",
"400","2006","5472.634066004",
"401","2017","1705.967188",
"402","1986","43.38719",
"403","2000","76.297465114",
"404","1973","2",
"405","2003","199",
"406","1991","255291.21325448",
"407","1979","111837.3191986",
"408","2016","5618239.771",
"409","2005","861",
"410","1998","23876.6",
"411","2020","0.241108",
"412","1995","6034.32",
"413","1979","330.98218",
"414","1995","311.5248",
"415","1989","2.996342",
"416","1979","1735.13964",
"417","1986","406737.577743",
"418","1971","54423346.38",
"419","2015","217880947.78622",
"420","2017","358.382506202",
"421","1980","636249.09006",
"422","1983","217277080.411",
"423","1995","457.0820887",
"424","2011","749.5",
"425","2006","38914.4",
"426","1991","0",
"427","2008","2.802",
"428","2024","54.58712",
"429","2020","3.74128",
"430","1985","4.0683594",
"431","1984","12441.1020169",
"432","1991","2355.35320769",
"433","1970","0",
"434","1990","0",
"435","2011","7.59904",
"436","1997","724",
"437","2025","263076235.38597",
"438","2023","0",
"439","1977","0.035181",
"440","1992","547850.1",
"441","1994","7568313.9298261",
"442","2004","9.9",
"443","1976","830074.871584",
"444","2017","2.9641",
"445","1995","712.32748",
"446","2001","50066.96192254",
"447","2008","390.6",
"448","2010","108752.21864543",
"449","1982","313.41944",
"450","1976","188",
"451","1971","3384.989",
"452","1998","6035310.341134",
"453","2020","5816.362022111",
"454","1990","5745.296991952",
"455","1996","542191.925474",
"456","1974","0",
"457","1991","1258",
"458","1985","361278.48",
"459","1974","246.43448",
"460","1978","259592511.77423",
"461","2015","2781546.8925",
"462","2007","0",
"463","1988","14676830.1",
"464","2009","9740888.9227",
"465","2001","468293322.75355",
"466","2010","552064",
"467","1994","21130134.6",
"468","1992","512119.4413",
"469","1994","610401.6014",
"470","2010","16263071.7",
"471","1997","0",
"472","2025","0",
"473","1980","50135.7",
"474","2016","0",
"475","1972","207.8753",
"476","1992","13.685470237",
"477","1995","77842.4",
"478","1999","8721.55",
"479","2017","24739971.281232",
"480","2023","0",
"481","2015","1.763",
"482","2010","2.51564697",
"483","2005","0",
"484","2012","56672437.18158",
"485","2012","6190.927692",
"486","1983","5.5162",
"487","1989","3251464.1784",
"488","1975","48.71786042",
"489","2000","11035.97751129",
"490","2021","9.745648431",
"491","1987","19128.52641279",
"492","2020","49284",
"493","1984","101",
"494","1971","46270.11532097",
"495","1972","559.724768657",
"496","1989","2972274.89",
"497","2023","10002654.08522",
"498","1976","2340973.109494",
"499","1991","8.4050532",
"500","1992","5446122.649",
"501","1971","15749998.1",
"502","1974","19",
"503","2013","0",
"504","2011","5508.29433",
"505","1971","17.8951592",
"506","2005","43792077",
"507","1971","9.077",
"508","2012","56593.89",
"509","1987","0",
"510","1986","370816338.91",
"511","1986","420.9938",
"512","1995","76548.599",
"513","1999","711.31523",
"514","1985","83895756.74708",
"515","1992","0.26442378",
"516","2015","65.5816",
"517","1997","589.027125",
"518","2025","26",
"519","2007","4795.6801",
"520","1971","135.3",
"521","1999","161.38",
"522","2024","302983",
"523","1988","788907.5",
"524","1993","481.0200189",
"525","2007","329026729.87594",
"526","2004","54208167.976",
"527","1983","58509.58459",
"528","2018","1603433.2585206",
"529","2008","273322880.95835",
"530","2013","3.6907",
"531","1995","1.1",
"532","2025","119779.079",
"533","2007","4239.076582649",
"534","1985","51861677.4",
"535","2013","4222.78105",
"536","2005","2033.499761",
"537","2023","7.8309",
"538","1999","3069956.3733779",
"539","1981","2.98609638",
"540","1990","46336",
"541","2004","10453937.0589",
"542","1978","79.7",
"543","2012","355833.91576591",
"544","1975","17387.813941",
"545","2024","25.131",
"546","2020","2468084.61055",
"547","1982","827737.43066205",
"548","2014","1751363.830575",
"549","1983","39.3555",
"550","1972","125472.44915307",
"551","2024","0",
"552","2015","70295.6",
"553","1975","13116691.4438",
"554","1998","34921.26",
"555","1975","586692445.96542",
"556","1984","292978098.09753",
"557","2011","5418940.65",
"558","1985","7381.54722058",
"559","2016","344.8",
"560","1977","124811.50731349",
"561","2016","0",
"562","2025","381379.07437364",
"563","1976","149567685.16492",
"564","1972","81990820",
"565","1978","0",
"566","1993","0.81034404",
"567","2016","46",
"568","2011","3202545.9775785",
"569","2021","8164831.9732272",
"570","2021","20423.65",
"571","2020","0",
"572","1981","35762435.478554",
"573","1994","45292.788",
"574","1979","2031.315457",
"575","1990","27594251.85068",
"576","1982","2.82",
"577","1985","19611140.217446",
"578","2008","0",
"579","2005","0",
"580","2004","8335672.3822781",
"581","1995","425982142.14241",
"582","1982","216.218",
"583","2024","0",
"584","1982","0",
"585","2006","5773",
"586","1995","3.5",
"587","1976","0.07723349",
"588","1987","6246.9074",
"589","1996","22484.716845827",
"590","1998","0",
"591","1976","1307.6758227",
"592","1970","6084280.705831",
"593","1980","0",
"594","1975","49.734478049",
"595","1989","291.0933",
"596","2003","20216.50131263",
"597","1975","4",
"598","1988","20584.5066",
"599","2023","452452.96",
"600","1979","0.519861948",
"601","2011","80956",
"602","1970","1459.4372",
"603","1977","2525.6",
"604","1999","2436.357",
"605","2015","0",
"606","1996","1466123.6",
"607","2006","681.7790636",
"608","1971","45.3",
"609","2017","24616796.95985",
"610","2018","299821768.9",
"611","2021","45.688691",
"612","1994","0",
"613","2001","8389.46",
"614","2016","11182.32",
"615","1975","199859.09",
"616","2025","2104450.716397",
"617","2024","5007.79",
"618","2000","174683373.78837",
"619","2010","601",
"620","2008","1276.46896",
"621","1980","242890271.34",
"622","2019","0",
"623","2004","0.22687",
"624","1981","0",
"625","1986","43.466148989",
"626","2011","24409666.87243",
"627","1991","27",
"628","2007","710599195.4",
"629","1983","8637.048825583",
"630","1999","0",
"631","2016","2002946.925",
"632","2016","0",
"633","1978","0",
"634","1977","7",
"635","2019","30454.896",
"636","1972","21",
"637","2015","30.67",
"638","1973","82937518",
"639","1985","3993073.992779",
"640","2022","2220.9218",
"641","1983","24424703.071115",
"642","1990","75602987.021837",
"643","2012","262950775.36971",
"644","1980","16224164.432833",
"645","2001","84097404.861",
"646","1996","9641679.898642",
"647","2018","96088.1765",
"648","2011","126313132.63338",
"649","1986","68.895",
"650","1993","1144.936077",
"651","1978","4.65",
"652","2011","5046.86405",
"653","2002","12796.159047",
"654","2009","0.261",
"655","2000","5",
"656","1993","0",
"657","2005","3807789.1912008",
"658","2010","527.3",
"659","1983","72345551.66937",
"660","2002","3708.68329799",
"661","2012","341225958.14",
"662","2001","2474.0085",
"663","1988","366819868.4",
"664","2007","4.66",
"665","2008","115.26",
"666","1986","0",
"667","2025","25559.0266",
"668","1983","291830129.497",
"669","1989","19539.964",
"670","1985","414.529175",
"671","1998","0",
"672","1996","48342071.08",
"673","1995","448770947.8",
"674","1990","54050.810159048",
"675","1975","23691884.8",
"676","1970","37948892.6925",
"677","2023","1.05",
"678","2019","374",
"679","1973","0.5053",
"680","1978","25494.678022058",
"681","2008","4.6990825",
"682","1997","0.430008",
"683","2004","4.37",
"684","2020","0",
"685","1987","1250.791084935",
"686","1978","23599.97187708",
"687","2025","24255.62407",
"688","2022","6058185.466",
"689","1994","28860639.938",
"690","2021","3928.5",
"691","2020","60288.895394",
"692","1984","2.054293006",
"693","2004","4.9070751",
"694","2004","0",
"695","2000","0",
"696","2010","4",
"697","1989","0",
"698","1985","0",
"699","2011","4774",
"700","2014","37267268.557",
"701","2014","45961.7",
"702","2024","336.88",
"703","1997","214.134052766",
"704","1976","2.894164",
"705","1977","0.7",
"706","2011","2.46",
"707","2003","21638.522739851",
"708","2018","296595613.72799",
"709","2015","77877.151",
"710","1998","384.71751",
"711","1977","447.378054",
"712","1975","0.0566946",
"713","2023","400559.13171",
"714","1979","0.3345",
"715","1999","0.995",
"716","1975","290740.3286",
"717","1975","1.00794",
"718","1994","13330866.303",
"719","2009","412964387.04449",
"720","1977","7337538.99038",
"721","1994","3124579.2798",
"722","1975","32263252.651",
"723","1977","1.70833534",
"724","2003","0.99752",
"725","2009","0",
"726","2024","3769",
"727","1982","441159",
"728","2015","1522806.9",
"729","1985","67.57857",
"730","2021","48755202.58",
"731","2015","19779.9",
"732","1973","31.7491",
"733","2003","1470391.81",
"734","2012","2.282207225",
"735","1975","27745.76525366",
"736","1985","870262.26",
"737","1992","9239356.3",
"738","2001","25",
"739","1986","17.414585",
"740","1999","37312259",
"741","1973","274780.13036",
"742","1980","1614.426063377",
"743","2002","10.7",
"744","2008","292002.6495966",
"745","2009","927844.6547976",
"746","1996","0.724808",
"747","1980","531.4511559",
"748","1984","228185.484401",
"749","1989","838.849",
"750","1995","5817.24501",
"751","1981","0",
"752","2011","0.3667",
"753","1987","5200.8",
"754","2022","1.739",
"755","2010","428712.96415889",
"756","1989","16051.20677221",
"757","1984","43.97713",
"758","1991","5060197.8737",
"759","2020","0",
"760","1993","260978535.8975",
"761","1973","0",
"762","1975","1.15",
"763","2014","27",
"764","2008","48156034.26",
"765","1992","19737219.872178",
"766","1980","411067.644",
"767","1993","86576774.567616",
"768","2001","93208.295",
"769","2001","25192306.200356",
"770","1987","23115367.5624",
"771","1998","5450303.8107451",
"772","1995","20.204",
"773","1982","1.8961586",
"774","2008","81183.13146",
"775","1990","89024.7632",
"776","1986","3614.387",
"777","1994","0",
"778","2023","3996.38",
"779","1973","5060.102",
"780","1980","7.225794",
"781","2011","0",
"782","2001","14222.6017017",
"783","1982","29056.23",
"784","1989","2.9",
"785","1994","0",
"786","1981","976.201",
"787","1989","319672145.60086",
"788","1972","23809.685658508",
"789","2019","14.171",
"790","1992","2.539",
"791","2003","1.86",
"792","1988","0",
"793","1980","1.21757",
"794","1999","664.88219887",
"795","1988","774161.00176452",
"796","1976","1.833",
"797","1986","0",
"798","1972","2296.054543",
"799","2000","26901.1",
"800","1975","217.027826",
"801","1996","0",
"802","1978","3.36080212",
"803","1985","136",
"804","2014","3543694.6596773",
"805","1981","57616594.6",
"806","2008","0",
"807","2022","32553.039538",
"808","1978","1.028433",
"809","2013","4160.49346926",
"810","2004","2.04994826",
"811","1994","0",
"812","2022","6505.8",
"813","1972","625563.43923",
"814","1975","4",
"815","2000","1.6724",
"816","1985","434625",
"817","1981","525",
"818","2007","316064132.42827",
"819","2019","307731351.29986",
"820","2013","0",
"821","1971","0",
"822","1970","568343.4128962",
"823","1978","0",
"824","1998","319362621.273",
"825","1977","0",
"826","1987","2178428.2312536",
"827","1978","75343.8",
"828","2009","476.105",
"829","2021","2582277",
"830","1989","20691.10877",
"831","1995","30139305.8133",
"832","1985","14.5218",
"833","2004","952",
"834","1990","833.203609",
"835","2024","262.25",
"836","2024","651289841.4",
"837","2006","28.59153595",
"838","2021","8.912490767",
"839","1979","43293.4",
"840","1991","233.5",
"841","1981","312252.92600591",
"842","2005","482",
"843","1987","600.06",
"844","2009","916.93595044",
"845","2001","0.60074311",
"846","1997","157398",
"847","1980","3007478.5467439",
"848","2003","267749.35147325",
"849","2022","150383.650702",
"850","2004","895.3706",
"851","1980","4.14907966",
"852","1975","721089.007481",
"853","2001","12.080393",
"854","2013","7875746.6",
"855","2008","247537.07",
"856","1972","0",
"857","1971","1345082.5",
"858","1971","38.18447192",
"859","1971","97878895.907835",
"860","2025","669991361.12746",
"861","1976","7122488.5",
"862","1999","216113111.72571",
"863","1998","29579.0493573",
"864","1980","61551679.280416",
"865","2025","0.7533",
"866","2019","1566.450986",
"867","1971","0.26058",
"868","2008","23498181.35825",
"869","2008","2611923.0430164",
"870","1972","8.2858729",
"871","1997","25213.53291",
"872","1974","6225537.0062328",
"873","2004","11.08",
"874","1980","4.3",
"875","2002","6882353",
"876","1975","47.9",
"877","1986","75674793.68",
"878","2018","784515.51031177",
"879","2004","7555",
"880","1999","4626958.204",
"881","2012","288",
"882","2016","585232.7925434",
"883","1997","44823147.516573",
"884","1996","3.157315914",
"885","2016","50727966.97421",
"886","2013","6.627402",
"887","2012","201266543.3081",
"888","1997","45.19161",
"889","2011","85893.1",
"890","2007","205.1333",
"891","1996","1.83",
"892","1975","168235837.6",
"893","1993","5829.07831",
"894","1974","19.512",
"895","1974","3.1674068",
"896","2017","654019",
"897","1974","479.17",
"898","1986","249.929847536",
"899","1989","156724.85",
"900","2012","280215964.10322",
"901","1982","260.2545453",
"902","2000","11612760",
"903","1988","4435836.4285148",
"904","1970","0",
"905","2013","139023.2",
"906","2007","6921.74551",
"907","1993","25840.35167",
"908","2008","70188.02952711",
"909","1976","49466.32",
"910","2017","0.54624415",
"911","2014","81.0725",
"912","1978","0",
"913","1986","8654",
"914","1978","9.346",
"915","1983","5674.9822",
"916","2011","51960.375832435",
"917","2004","119517.51276",
"918","1976","125.92",
"919","1991","339367.9",
"920","1993","1.102506064",
"921","1970","33294.533292",
"922","1995","12.4508",
"923","2025","2319.898",
"924","2017","2",
"925","1982","68.77912148",
"926","2018","3082038.46",
"927","1984","1691215.867183",
"928","1974","16",
"929","2018","3793.31",
"930","2014","1122892",
"931","1985","60616023.57",
"932","1996","0.9",
"933","2004","84093.25",
"934","2014","0",
"935","1977","7655.56871753",
"936","1970","14.87",
"937","2022","0",
"938","1983","5757406.0354377",
"939","1977","6859482.4693",
"940","1991","2348.3956971",
"941","2019","609.515368529",
"942","1979","622127.04991686",
"943","1986","417.467875",
"944","2000","770282571.9",
"945","1987","0",
"946","2012","40350396.276307",
"947","2021","2611.777",
"948","1972","358498.8584394",
"949","1983","720361.960141",
"950","1976","2.7568",
"951","1979","0.263781048",
"952","2022","321176.6221",
"953","1987","98222.546",
"954","2014","343682570.769",
"955","2003","2.3992152",
"956","1979","302.595",
"957","1996","3.46869",
"958","1981","17094071.4",
"959","2019","2175.45",
"960","1997","4",
"961","2022","4.65",
"962","2003","114329718.7",
"963","1986","4067.0290013",
"964","1977","29078156.698",
"965","1987","63.861",
"966","2013","1.141152467",
"967","1971","41089.6",
"968","1984","449321.629",
"969","2016","16.16254809",
"970","2003","461.17210671",
"971","1998","5596.99972",
"972","2002","68113913.546224",
"973","1973","0",
"974","1974","3838.5281412",
"975","1992","0",
"976","1977","20.641776",
"977","1997","207237.5",
"978","2009","0",
"979","1972","2369.74251",
"980","2001","0.31036",
"981","1986","31624.40324",
"982","1992","53.0694",
"983","2021","149.54",
"984","2010","39.9102474",
"985","2010","218005.968",
"986","2019","1619.85",
"987","2013","3370.28",
"988","1970","3.020461097",
"989","2023","2.804",
"990","1995","242.29874246",
"991","2000","37340.78",
"992","2017","509797.865",
"993","1992","0",
"994","1970","36672.414",
"995","2008","2521.445458",
"996","2003","11248.863661743",
"997","1973","0.19881",
"998","1971","27722634.003665",
"999","2024","6850.5273",
"1000","1983","160808557",
"1001","2002","245465.429",
"1002","1998","788.719412",
"1003","1977","53353.05",
"1004","1993","113193624.14",
"1005","2014","0",
"1006","1992","290479.98898453",
"1007","2015","1831",
"1008","1972","3244674.06",
"1009","1992","232217949.9",
"1010","2022","3547745.90683",
"1011","1970","246584",
"1012","1996","2083189.3423",
"1013","2014","0",
"1014","1970","543",
"1015","2006","37946.317253451",
"1016","2004","21711.968",
"1017","1990","2.66",
"1018","2012","17942.2",
"1019","1995","389961.8",
"1020","2010","1696.858564358",
"1021","2016","4627577.317111",
"1022","1996","44664.4122126",
"1023","2014","3447.8010801",
"1024","1983","1525.3765471",
"1025","2001","3.1477728",
"1026","2019","7.965",
"1027","1987","99143.66",
"1028","1975","4087469.135424",
"1029","1980","781151869.84",
"1030","1983","62479601.979973",
"1031","1983","428.739",
"1032","2016","5.7",
"1033","2023","0",
"1034","2022","319953.83628",
"1035","2022","4.334575",
"1036","1990","7429.068309362",
"1037","1997","9526448.2742669",
"1038","2013","627.36644",
"1039","1997","2559853.418",
"1040","1997","2551928.9",
"1041","2004","557228",
"1042","2008","0.03284",
"1043","2004","54614.84",
"1044","2012","95.798",
"1045","2010","0",
"1046","2023","2716668.9651349",
"1047","1995","18301.5388",
"1048","1985","1",
"1049","2002","175.1547",
"1050","2012","245102.1070797",
"1051","1993","5",
"1052","2013","6415.388407",
"1053","1977","36354295.598822",
"1054","1970","1438.416",
"1055","1972","27160310.444902",
"1056","2000","734335780.67",
"1057","1991","268167312.55509",
"1058","1990","294457.2",
"1059","1979","636578129.83",
"1060","1985","325.400081",
"1061","1992","105.3757",
"1062","2025","16723978.414793",
"1063","1985","0",
"1064","1997","8445.8477",
"1065","1991","3574.36",
"1066","1984","1419952.3596",
"1067","1973","0",
"1068","1992","0",
"1069","1995","39.68",
"1070","1996","120979.3722058",
"1071","1981","3959.59731652",
"1072","2000","211408.7908",
"1073","2012","218345.454",
"1074","2015","0",
"1075","2020","893.7936123",
"1076","1979","787021.59",
"1077","2015","610394964.2",
"1078","1984","202322607.606",
"1079","2000","6629448.0053802",
"1080","2003","40372.45325",
"1081","1989","192.278",
"1082","1977","2",
"1083","1990","51.288946638",
"1084","1979","8898044",
"1085","2024","1.34569",
"1086","2014","296.40158979",
"1087","2015","1475.584989",
"1088","2020","25410772.34822",
"1089","1996","425.5683028",
"1090","2016","2193.7758",
"1091","1977","3018383.3",
"1092","1999","3.71133709",
"1093","2020","12862",
"1094","2014","41747.0751739",
"1095","2023","579.429592",
"1096","1988","65633.81295",
"1097","1990","0",
"1098","1983","45702455.668379",
"1099","1998","1.9665",
"1100","1989","3653212.7828495",
"1101","1977","41.727174",
"1102","2013","541845017.32888",
"1103","1978","28.375",
"1104","1998","24687465.9",
"1105","1978","10692128.811349",
"1106","1971","8.874401326",
"1107","1999","2861.1611914",
"1108","2012","79405.4357",
"1109","1976","123746",
"1110","2006","7.02",
"1111","1990","18.557128",
"1112","1993","0",
"1113","1996","49.92391636",
"1114","2007","10070.916267",
"1115","1990","2321758.5",
"1116","1987","344492255.80732",
"1117","2013","0.745",
"1118","1985","185.1611",
"1119","2005","19070.92169",
"1120","1987","13",
"1121","2021","0",
"1122","2023","0",
"1123","1973","7124.24514351",
"1124","1998","1826.3264",
"1125","2020","32071.91028616",
"1126","1992","402228805.14188",
"1127","2010","2177431.44",
"1128","2003","3.88078194",
"1129","2019","0.5",
"1130","2016","84.39218",
"1131","1990","324109553.66",
"1132","2014","223228217.29",
"1133","1999","13.75252629",
"1134","2009","0",
"1135","1993","12513.187",
"1136","2020","1256139.610815",
"1137","1977","0",
"1138","2007","12260.562434411",
"1139","1971","136005581",
"1140","2005","93780170.421965",
"1141","1982","151.35439028",
"1142","2010","5",
"1143","1993","19666439.302547",
