"Year","Campus","Degrees",
"1971","1300","2",
"1971","1447","5",
"1971","1469","7",
"1971","1476","9",
"1971","1525","2",
"1971","1612","4",
"1971","1639","5",
"1971","1640","3",
"1971","1672","4",
"1971","1709","3",
"1971","1867","7",
"1971","1885","9",
"1971","1949","5",
"1971","1954","6",
"1971","1955","5",
"1971","2043","3",
"1971","2053","4",
"1971","2304","9",
"1971","2333","8",
"1971","2378","7",
"1971","2384","8",
"1971","2402","3",
"1971","2451","6",
"1971","2461","1",
"1971","2597","2",
"1971","2602","5",
"1971","2680","0",
"1971","2698","9",
"1971","2812","1",
"1971","2836","0",
"1971","2864","0",
"1971","2890","2",
"1971","2920","7",
"1971","3033","0",
"1971","3067","6",
"1971","3086","0",
"1971","3365","8",
"1971","3385","0",
"1971","3449","9",
"1971","3566","4",
"1971","3640","8",
"1971","3823","3",
"1971","3860","0",
"1971","3891","1",
"1971","3915","7",
"1971","3964","7",
"1971","3974","9",
"1971","3982","6",
"1971","4052","3",
"1971","4059","9",
"1971","4106","6",
"1971","4195","9",
"1971","4298","8",
"1971","4385","7",
"1971","4491","1",
"1971","4521","6",
"1971","4543","8",
"1971","4774","9",
"1971","4795","5",
"1971","4871","6",
"1971","5243","5",
"1971","5284","7",
"1971","5365","8",
"1971","5458","8",
"1971","5568","6",
"1971","5575","7",
"1971","5608","0",
"1971","5653","5",
"1971","5692","0",
"1971","5708","0",
"1971","5857","7",
"1971","5917","2",
"1971","5925","6",
"1971","6015","1",
"1971","6073","9",
"1971","6096","8",
"1971","6156","3",
"1971","6189","9",
"1971","6215","3",
"1971","6272","2",
"1971","6273","3",
"1971","6360","9",
"1971","6463","2",
"1971","6499","6",
"1971","6556","5",
"1971","6563","7",
"1971","6643","4",
"1971","6824","6",
"1971","6842","2",
"1971","6846","7",
"1971","6922","4",
"1971","6947","1",
"1971","7044","5",
"1971","7096","3",
"1971","7208","8",
"1971","7396","2",
"1971","7471","3",
"1971","7510","2",
"1971","7567","6",
"1971","7568","9",
"1971","7583","5",
"1971","7594","9",
"1971","7599","1",
"1971","7612","9",
"1971","7741","5",
"1971","7825","3",
"1971","7869","5",
"1971","7956","5",
"1971","7972","9",
"1971","7980","9",
"1971","7991","8",
"1971","8003","4",
"1971","8052","6",
"1971","8058","5",
"1971","8257","5",
"1971","8326","5",
"1971","8362","4",
"1971","8431","0",
"1971","8438","6",
"1971","8520","5",
"1971","8551","8",
"1971","8591","1",
"1971","8628","8",
"1971","8657","6",
"1971","8666","1",
"1971","8727","9",
"1971","8773","0",
"1971","8846","2",
"1971","8851","5",
"1971","8892","1",
"1971","8903","6",
"1971","8906","5",
"1971","8922","2",
"1971","8985","3",
"1971","9106","2",
"1971","9112","8",
"1971","9132","1",
"1971","9144","6",
"1971","9168","4",
"1971","9170","2",
"1971","9318","7",
"1971","9345","5",
"1971","9438","5",
"1971","9452","0",
"1971","9457","5",
"1971","9466","4",
"1971","9485","2",
"1971","9519","9",
"1971","9585","6",
"1971","9593","6",
"1971","9702","2",
"1971","9817","1",
"1971","9902","3",
"1971","9917","0",
"1971","9940","0",
"1972","55","9",
"1972","64","2",
"1972","163","5",
"1972","172","4",
"1972","185","6",
"1972","379","4",
"1972","391","8",
"1972","395","6",
"1972","511","6",
"1972","515","7",
"1972","566","8",
"1972","676","3",
"1972","719","7",
"1972","956","8",
"1972","1004","9",
"1972","1057","3",
"1972","1110","5",
"1972","1261","9",
"1972","1267","5",
"1972","1396","9",
"1972","1397","0",
"1972","1415","8",
"1972","1458","0",
"1972","1609","0",
"1972","1693","7",
"1972","1697","3",
"1972","1708","3",
"1972","1710","0",
"1972","1806","1",
"1972","1864","2",
"1972","1982","3",
"1972","2078","5",
"1972","2079","2",
"1972","2084","1",
"1972","2253","0",
"1972","2297","1",
"1972","2309","8",
"1972","2315","8",
"1972","2343","5",
"1972","2386","7",
"1972","2519","1",
"1972","2544","6",
"1972","2550","1",
"1972","2565","3",
"1972","2566","6",
"1972","2600","0",
"1972","2700","7",
"1972","2778","6",
"1972","2783","5",
"1972","2840","6",
"1972","2983","4",
"1972","3107","4",
"1972","3150","0",
"1972","3197","1",
"1972","3235","6",
"1972","3268","8",
"1972","3358","0",
"1972","3374","2",
"1972","3379","9",
"1972","3725","0",
"1972","3756","5",
"1972","3810","2",
"1972","3814","0",
"1972","3839","4",
"1972","3850","1",
"1972","4022","0",
"1972","4098","8",
"1972","4258","1",
"1972","4266","9",
"1972","4314","1",
"1972","4381","4",
"1972","4408","1",
"1972","4463","9",
"1972","4479","2",
"1972","4547","2",
"1972","4680","0",
"1972","4819","4",
"1972","4915","6",
"1972","4994","3",
"1972","5018","2",
"1972","5181","7",
"1972","5184","1",
"1972","5231","4",
"1972","5346","8",
"1972","5463","6",
"1972","5520","5",
"1972","5589","2",
"1972","5659","9",
"1972","5676","3",
"1972","5721","3",
"1972","5758","9",
"1972","5789","1",
"1972","5856","8",
"1972","6072","6",
"1972","6158","6",
"1972","6176","7",
"1972","6179","5",
"1972","6190","3",
"1972","6313","3",
"1972","6327","0",
"1972","6392","8",
"1972","6461","5",
"1972","6531","6",
"1972","6570","7",
"1972","6726","8",
"1972","6815","8",
"1972","6839","5",
"1972","6890","3",
"1972","6981","4",
"1972","6997","1",
"1972","7035","3",
"1972","7102","1",
"1972","7126","3",
"1972","7128","0",
"1972","7162","5",
"1972","7177","9",
"1972","7178","9",
"1972","7249","5",
"1972","7358","4",
"1972","7394","1",
"1972","7395","1",
"1972","7429","0",
"1972","7508","8",
"1972","7558","4",
"1972","7565","4",
"1972","7762","3",
"1972","7834","0",
"1972","7841","3",
"1972","7910","9",
"1972","8075","0",
"1972","8189","4",
"1972","8220","0",
"1972","8235","7",
"1972","8260","3",
"1972","8296","2",
"1972","8416","8",
"1972","8557","8",
"1972","8568","7",
"1972","8606","8",
"1972","8698","4",
"1972","8732","0",
"1972","8760","5",
"1972","8881","1",
"1972","8942","2",
"1972","8953","3",
"1972","9116","2",
"1972","9127","6",
"1972","9245","7",
"1972","9261","6",
"1972","9324","9",
"1972","9354","1",
"1972","9369","6",
"1972","9396","1",
"1972","9405","6",
"1972","9418","9",
"1972","9567","7",
"1972","9584","4",
"1972","9690","9",
"1972","9718","9",
"1972","9772","2",
"1972","9773","5",
"1972","9782","8",
"1972","9818","9",
"1972","9821","5",
"1972","9871","4",
"1972","9931","2",
"1972","9946","1",
"1973","19","7",
"1973","25","2",
"1973","51","3",
"1973","63","9",
"1973","92","8",
"1973","130","6",
"1973","137","6",
"1973","165","2",
"1973","253","3",
"1973","271","8",
"1973","372","7",
"1973","501","0",
"1973","502","7",
"1973","581","5",
"1973","666","0",
"1973","735","5",
"1973","759","0",
"1973","863","0",
"1973","864","6",
"1973","918","7",
"1973","957","4",
"1973","1106","5",
"1973","1149","7",
"1973","1311","0",
"1973","1373","9",
"1973","1435","4",
"1973","1503","9",
"1973","1520","2",
"1973","1607","0",
"1973","1650","3",
"1973","1656","8",
"1973","1741","4",
"1973","1776","3",
"1973","1830","8",
"1973","1851","3",
"1973","1860","2",
"1973","1903","2",
"1973","1922","1",
"1973","2054","3",
"1973","2087","7",
"1973","2165","4",
"1973","2181","3",
"1973","2193","9",
"1973","2229","5",
"1973","2256","4",
"1973","2296","2",
"1973","2303","5",
"1973","2439","5",
"1973","2511","0",
"1973","2546","6",
"1973","2591","2",
"1973","2642","7",
"1973","2681","3",
"1973","2751","1",
"1973","2827","7",
"1973","2852","8",
"1973","3051","3",
"1973","3054","3",
"1973","3216","2",
"1973","3248","9",
"1973","3435","5",
"1973","3451","7",
"1973","3530","7",
"1973","3541","2",
"1973","3622","8",
"1973","3676","4",
"1973","3862","6",
"1973","3865","9",
"1973","3867","1",
"1973","3868","6",
"1973","3886","6",
"1973","3929","9",
"1973","4020","2",
"1973","4025","9",
"1973","4045","8",
"1973","4169","6",
"1973","4190","4",
"1973","4204","4",
"1973","4343","3",
"1973","4432","8",
"1973","4450","3",
"1973","4484","7",
"1973","4553","2",
"1973","4612","2",
"1973","4631","7",
"1973","4688","6",
"1973","4807","4",
"1973","4825","0",
"1973","4839","2",
"1973","4868","6",
"1973","4925","9",
"1973","5088","8",
"1973","5158","2",
"1973","5178","7",
"1973","5202","0",
"1973","5213","1",
"1973","5217","9",
"1973","5285","7",
"1973","5341","9",
"1973","5345","4",
"1973","5351","0",
"1973","5359","9",
"1973","5361","1",
"1973","5437","5",
"1973","5552","0",
"1973","5609","0",
"1973","5611","9",
"1973","5687","9",
"1973","5719","4",
"1973","6086","1",
"1973","6180","0",
"1973","6207","2",
"1973","6218","4",
"1973","6289","0",
"1973","6290","5",
"1973","6381","3",
"1973","6382","6",
"1973","6403","7",
"1973","6410","4",
"1973","6434","0",
"1973","6615","9",
"1973","6632","1",
"1973","6669","7",
"1973","6729","9",
"1973","6740","8",
"1973","6791","9",
"1973","6807","5",
"1973","6826","1",
"1973","6956","9",
"1973","7011","4",
"1973","7085","6",
"1973","7147","5",
"1973","7163","1",
"1973","7174","6",
"1973","7220","3",
"1973","7266","8",
"1973","7270","8",
"1973","7415","6",
"1973","7464","9",
"1973","7602","0",
"1973","7784","0",
"1973","7791","6",
"1973","7842","7",
"1973","7960","5",
"1973","8198","7",
"1973","8229","2",
"1973","8246","1",
"1973","8333","4",
"1973","8347","8",
"1973","8537","1",
"1973","8538","9",
"1973","8558","8",
"1973","8601","8",
"1973","8607","8",
"1973","8631","0",
"1973","8639","0",
"1973","8675","9",
"1973","8686","5",
"1973","8759","4",
"1973","8798","3",
"1973","8845","1",
"1973","8904","6",
"1973","8966","8",
"1973","9147","9",
"1973","9213","5",
"1973","9250","8",
"1973","9329","3",
"1973","9332","4",
"1973","9361","1",
"1973","9419","9",
"1973","9431","8",
"1973","9487","0",
"1973","9502","7",
"1973","9518","0",
"1973","9550","6",
"1973","9556","5",
"1973","9559","6",
"1973","9563","8",
"1973","9568","1",
"1973","9607","7",
"1973","9638","6",
"1973","9721","6",
"1973","9726","8",
"1973","9765","6",
"1973","9784","9",
"1973","9837","5",
"1973","9997","9",
"1974","6","3",
"1974","57","7",
"1974","143","5",
"1974","152","8",
"1974","171","8",
"1974","197","8",
"1974","278","1",
"1974","282","8",
"1974","288","4",
"1974","359","3",
"1974","410","7",
"1974","441","6",
"1974","553","1",
"1974","681","3",
"1974","745","4",
"1974","747","7",
"1974","758","5",
"1974","770","9",
"1974","790","7",
"1974","838","0",
"1974","965","0",
"1974","1003","7",
"1974","1061","9",
"1974","1108","4",
"1974","1157","2",
"1974","1173","1",
"1974","1203","1",
"1974","1204","0",
"1974","1224","1",
"1974","1230","0",
"1974","1266","0",
"1974","1279","9",
"1974","1312","3",
"1974","1480","2",
"1974","1569","4",
"1974","1588","6",
"1974","1763","5",
"1974","1785","6",
"1974","1849","9",
"1974","1856","8",
"1974","1875","3",
"1974","2065","8",
"1974","2116","0",
"1974","2161","9",
"1974","2174","1",
"1974","2319","3",
"1974","2345","8",
"1974","2398","8",
"1974","2445","9",
"1974","2470","9",
"1974","2545","9",
"1974","2613","0",
"1974","2690","3",
"1974","2711","3",
"1974","2791","3",
"1974","2978","4",
"1974","3007","1",
"1974","3114","4",
"1974","3130","5",
"1974","3306","6",
"1974","3329","3",
"1974","3391","6",
"1974","3441","5",
"1974","3654","9",
"1974","3663","9",
"1974","3675","7",
"1974","3747","8",
"1974","3767","9",
"1974","3779","7",
"1974","3789","7",
"1974","3818","6",
"1974","3852","3",
"1974","3863","4",
"1974","4042","7",
"1974","4055","8",
"1974","4062","9",
"1974","4076","9",
"1974","4184","8",
"1974","4194","6",
"1974","4268","3",
"1974","4287","8",
"1974","4318","0",
"1974","4338","4",
"1974","4355","0",
"1974","4358","6",
"1974","4483","8",
"1974","4549","6",
"1974","4629","7",
"1974","4644","3",
"1974","4678","3",
"1974","4707","7",
"1974","4753","3",
"1974","4803","8",
"1974","4972","5",
"1974","5031","3",
"1974","5034","1",
"1974","5064","2",
"1974","5069","9",
"1974","5141","7",
"1974","5435","3",
"1974","5439","8",
"1974","5450","3",
"1974","5677","9",
"1974","5684","2",
"1974","5734","6",
"1974","5803","3",
"1974","5876","2",
"1974","6066","1",
"1974","6200","5",
"1974","6201","6",
"1974","6214","1",
"1974","6227","4",
"1974","6254","8",
"1974","6260","8",
"1974","6333","1",
"1974","6362","0",
"1974","6365","6",
"1974","6387","3",
"1974","6390","0",
"1974","6398","3",
"1974","6400","4",
"1974","6422","6",
"1974","6439","4",
"1974","6451","2",
"1974","6514","5",
"1974","6564","8",
"1974","6576","6",
"1974","6657","7",
"1974","6719","7",
"1974","6776","7",
"1974","6884","4",
"1974","6945","8",
"1974","7000","1",
"1974","7060","9",
"1974","7110","7",
"1974","7116","1",
"1974","7156","7",
"1974","7197","6",
"1974","7225","7",
"1974","7347","0",
"1974","7400","1",
"1974","7421","7",
"1974","7484","3",
"1974","7530","4",
"1974","7533","1",
"1974","7844","4",
"1974","7983","4",
"1974","8002","8",
"1974","8005","4",
"1974","8014","9",
"1974","8163","6",
"1974","8183","4",
"1974","8350","1",
"1974","8417","4",
"1974","8423","2",
"1974","8440","8",
"1974","8442","5",
"1974","8506","2",
"1974","8651","6",
"1974","8693","3",
"1974","8740","2",
"1974","8758","5",
"1974","8799","3",
"1974","8802","7",
"1974","8807","1",
"1974","9007","5",
"1974","9102","7",
"1974","9103","1",
"1974","9108","8",
"1974","9117","3",
"1974","9146","2",
"1974","9164","0",
"1974","9197","9",
"1974","9212","3",
"1974","9228","8",
"1974","9242","6",
"1974","9251","6",
"1974","9320","4",
"1974","9336","1",
"1974","9440","4",
"1974","9625","1",
"1974","9696","5",
"1974","9768","0",
"1974","9777","6",
"1974","9795","2",
"1974","9823","4",
"1974","9865","9",
"1974","9887","1",
"1974","9905","1",
"1974","9910","5",
"1974","10000","0",
"1975","85","9",
"1975","91","0",
"1975","97","4",
"1975","119","8",
"1975","122","7",
"1975","170","9",
"1975","193","4",
"1975","251","4",
"1975","293","1",
"1975","297","3",
"1975","305","3",
"1975","358","4",
"1975","399","5",
"1975","516","2",
"1975","653","1",
"1975","879","4",
"1975","894","4",
"1975","971","3",
"1975","974","3",
"1975","998","7",
"1975","1184","5",
"1975","1288","7",
"1975","1319","8",
"1975","1493","4",
"1975","1601","6",
"1975","1658","0",
"1975","1747","3",
"1975","1774","8",
"1975","1796","4",
"1975","1813","5",
"1975","1847","9",
"1975","1900","1",
"1975","1981","2",
"1975","2029","0",
"1975","2045","5",
"1975","2110","1",
"1975","2249","9",
"1975","2261","3",
"1975","2289","1",
"1975","2290","4",
"1975","2298","2",
"1975","2396","1",
"1975","2399","5",
"1975","2419","5",
"1975","2475","5",
"1975","2481","6",
"1975","2526","1",
"1975","2559","6",
"1975","2576","9",
"1975","2606","8",
"1975","2616","6",
"1975","2622","4",
"1975","2650","9",
"1975","2687","2",
"1975","2689","4",
"1975","2717","1",
"1975","2719","3",
"1975","2758","5",
"1975","2796","6",
"1975","2849","9",
"1975","2854","7",
"1975","2862","1",
"1975","2939","8",
"1975","3204","6",
"1975","3341","7",
"1975","3345","0",
"1975","3350","7",
"1975","3446","2",
"1975","3472","4",
"1975","3497","4",
"1975","3504","9",
"1975","3506","6",
"1975","3559","8",
"1975","3618","3",
"1975","3646","0",
"1975","3781","5",
"1975","3896","6",
"1975","3900","5",
"1975","3959","8",
"1975","4005","5",
"1975","4094","5",
"1975","4130","1",
"1975","4131","7",
"1975","4210","1",
"1975","4240","0",
"1975","4259","8",
"1975","4269","0",
"1975","4317","1",
"1975","4445","3",
"1975","4467","4",
"1975","4554","3",
"1975","4604","4",
"1975","4654","5",
"1975","4738","6",
"1975","4806","4",
"1975","4888","0",
"1975","4989","9",
"1975","5073","7",
"1975","5319","1",
"1975","5384","9",
"1975","5407","5",
"1975","5580","0",
"1975","5582","6",
"1975","5586","9",
"1975","5637","1",
"1975","5679","6",
"1975","5727","5",
"1975","5757","1",
"1975","5763","3",
"1975","5831","6",
"1975","5844","7",
"1975","5866","7",
"1975","5908","8",
"1975","5972","3",
"1975","6117","1",
"1975","6166","9",
"1975","6259","8",
"1975","6283","2",
"1975","6425","9",
"1975","6426","2",
"1975","6581","4",
"1975","6676","3",
"1975","6844","0",
"1975","6880","9",
"1975","6992","4",
"1975","7001","3",
"1975","7046","7",
"1975","7050","1",
"1975","7104","6",
"1975","7241","9",
"1975","7272","7",
"1975","7402","7",
"1975","7408","4",
"1975","7431","1",
"1975","7571","4",
"1975","7611","9",
"1975","7703","5",
"1975","7725","6",
"1975","7808","7",
"1975","7890","6",
"1975","8017","1",
"1975","8078","0",
"1975","8171","5",
"1975","8210","0",
"1975","8232","3",
"1975","8295","1",
"1975","8319","9",
"1975","8363","2",
"1975","8401","4",
"1975","8670","5",
"1975","8718","6",
"1975","8731","9",
"1975","8735","0",
"1975","8791","9",
"1975","8936","2",
"1975","8979","6",
"1975","8981","3",
"1975","9006","4",
"1975","9028","6",
"1975","9232","2",
"1975","9312","9",
"1975","9348","6",
"1975","9350","7",
"1975","9498","7",
"1975","9508","2",
"1975","9626","3",
"1975","9632","6",
"1975","9681","9",
"1975","9737","1",
"1975","9774","5",
"1975","9812","6",
"1975","9822","7",
"1975","9861","2",
"1975","9872","6",
"1975","9875","8",
"1975","9877","6",
"1975","9880","2",
"1975","9907","8",
"1975","9972","4",
"1976","54","8",
"1976","69","9",
"1976","216","8",
"1976","220","9",
"1976","298","2",
"1976","300","2",
"1976","315","5",
"1976","366","4",
"1976","445","4",
"1976","569","5",
"1976","628","7",
"1976","671","5",
"1976","696","6",
"1976","725","6",
"1976","731","9",
"1976","734","9",
"1976","850","5",
"1976","860","1",
"1976","877","8",
"1976","889","4",
"1976","915","0",
"1976","1029","4",
"1976","1053","0",
"1976","1058","8",
"1976","1077","8",
"1976","1085","7",
"1976","1240","8",
"1976","1351","5",
"1976","1378","6",
"1976","1495","0",
"1976","1529","3",
"1976","1551","3",
"1976","1561","9",
"1976","1610","3",
"1976","1687","4",
"1976","1746","9",
"1976","1890","8",
"1976","1916","0",
"1976","1952","9",
"1976","1965","7",
"1976","1988","7",
"1976","2010","0",
"1976","2076","2",
"1976","2128","2",
"1976","2173","6",
"1976","2202","6",
"1976","2355","8",
"1976","2377","3",
"1976","2535","8",
"1976","2641","2",
"1976","2649","1",
"1976","2677","3",
"1976","2767","9",
"1976","2800","2",
"1976","2869","2",
"1976","2935","4",
"1976","2946","0",
"1976","3047","9",
"1976","3077","2",
"1976","3094","7",
"1976","3100","0",
"1976","3166","7",
"1976","3263","2",
"1976","3286","5",
"1976","3311","9",
"1976","3386","6",
"1976","3404","1",
"1976","3479","5",
"1976","3522","0",
"1976","3581","4",
"1976","3714","1",
"1976","3851","7",
"1976","3889","2",
"1976","3999","2",
"1976","4009","7",
"1976","4140","6",
"1976","4144","6",
"1976","4261","5",
"1976","4274","3",
"1976","4280","6",
"1976","4308","8",
"1976","4359","7",
"1976","4393","7",
"1976","4394","0",
"1976","4493","5",
"1976","4565","6",
"1976","4645","7",
"1976","4674","1",
"1976","4695","6",
"1976","4714","3",
"1976","4773","6",
"1976","4860","6",
"1976","4894","8",
"1976","4930","5",
"1976","4952","0",
"1976","5013","5",
"1976","5039","0",
"1976","5097","4",
"1976","5191","5",
"1976","5228","4",
"1976","5236","9",
"1976","5308","8",
"1976","5353","5",
"1976","5415","3",
"1976","5453","9",
"1976","5532","7",
"1976","5654","4",
"1976","5893","7",
"1976","5900","8",
"1976","5939","3",
"1976","5957","2",
"1976","5984","0",
"1976","6009","9",
"1976","6069","3",
"1976","6077","3",
"1976","6118","7",
"1976","6134","4",
"1976","6142","2",
"1976","6193","2",
"1976","6244","1",
"1976","6307","2",
"1976","6355","1",
"1976","6433","1",
"1976","6452","2",
"1976","6472","1",
"1976","6487","0",
"1976","6554","7",
"1976","6584","2",
"1976","6614","5",
"1976","6755","4",
"1976","6789","1",
"1976","6835","9",
"1976","6977","9",
"1976","7063","5",
"1976","7143","5",
"1976","7148","8",
"1976","7149","0",
"1976","7201","7",
"1976","7211","2",
"1976","7296","4",
"1976","7397","3",
"1976","7529","4",
"1976","7557","4",
"1976","7609","2",
"1976","7639","8",
"1976","7788","7",
"1976","7858","4",
"1976","7873","2",
"1976","7997","3",
"1976","8119","6",
"1976","8127","6",
"1976","8228","5",
"1976","8384","0",
"1976","8389","6",
"1976","8406","6",
"1976","8410","3",
"1976","8439","8",
"1976","8468","1",
"1976","8497","1",
"1976","8511","6",
"1976","8597","5",
"1976","8599","1",
"1976","8635","1",
"1976","8808","9",
"1976","8839","6",
"1976","8929","9",
"1976","9010","5",
"1976","9019","9",
"1976","9026","8",
"1976","9041","7",
"1976","9176","1",
"1976","9198","5",
"1976","9317","8",
"1976","9353","6",
"1976","9410","1",
"1976","9449","8",
"1976","9471","0",
"1976","9652","9",
"1976","9776","8",
"1976","9889","1",
"1976","9911","6",
"1976","9921","3",
"1977","37","2",
"1977","146","7",
"1977","149","6",
"1977","181","3",
"1977","190","8",
"1977","274","6",
"1977","440","2",
"1977","579","0",
"1977","586","5",
"1977","626","8",
"1977","639","9",
"1977","640","3",
"1977","660","0",
"1977","674","0",
"1977","806","6",
"1977","829","7",
"1977","873","1",
"1977","902","0",
"1977","1150","3",
"1977","1160","8",
"1977","1162","7",
"1977","1175","3",
"1977","1277","5",
"1977","1358","9",
"1977","1377","2",
"1977","1412","2",
"1977","1491","0",
"1977","1594","5",
"1977","1637","6",
"1977","1686","6",
"1977","1719","3",
"1977","1756","9",
"1977","1798","6",
"1977","1958","4",
"1977","2015","3",
"1977","2096","1",
"1977","2098","5",
"1977","2209","4",
"1977","2214","9",
"1977","2235","3",
"1977","2238","5",
"1977","2255","4",
"1977","2293","4",
"1977","2495","9",
"1977","2572","0",
"1977","2693","0",
"1977","2714","6",
"1977","2768","2",
"1977","2829","8",
"1977","2858","6",
"1977","2907","9",
"1977","2944","2",
"1977","3000","8",
"1977","3008","3",
"1977","3119","4",
"1977","3139","8",
"1977","3240","3",
"1977","3309","3",
"1977","3349","4",
"1977","3360","6",
"1977","3363","1",
"1977","3429","9",
"1977","3443","6",
"1977","3493","4",
"1977","3524","1",
"1977","3673","5",
"1977","3690","3",
"1977","3707","8",
"1977","3884","5",
"1977","3920","7",
"1977","3980","3",
"1977","4008","7",
"1977","4034","4",
"1977","4070","8",
"1977","4295","2",
"1977","4390","7",
"1977","4469","0",
"1977","4502","9",
"1977","4526","5",
"1977","4560","0",
"1977","4577","4",
"1977","4708","2",
"1977","4717","0",
"1977","4720","4",
"1977","4730","8",
"1977","4877","7",
"1977","4898","9",
"1977","4905","6",
"1977","5128","8",
"1977","5163","3",
"1977","5172","9",
"1977","5182","6",
"1977","5255","7",
"1977","5348","8",
"1977","5412","1",
"1977","5465","1",
"1977","5494","6",
"1977","5504","9",
"1977","5540","8",
"1977","5612","3",
"1977","5796","3",
"1977","5839","0",
"1977","5854","5",
"1977","5871","8",
"1977","5904","8",
"1977","5915","7",
"1977","6013","1",
"1977","6116","5",
"1977","6231","8",
"1977","6245","6",
"1977","6269","6",
"1977","6330","1",
"1977","6386","7",
"1977","6409","2",
"1977","6423","1",
"1977","6479","8",
"1977","6490","5",
"1977","6492","0",
"1977","6496","7",
"1977","6503","0",
"1977","6511","7",
"1977","6705","7",
"1977","6892","2",
"1977","7003","5",
"1977","7012","1",
"1977","7087","8",
"1977","7198","9",
"1977","7235","2",
"1977","7265","8",
"1977","7317","5",
"1977","7401","7",
"1977","7649","1",
"1977","7664","8",
"1977","7699","6",
"1977","7772","1",
"1977","7793","4",
"1977","7830","0",
"1977","7893","9",
"1977","7958","9",
"1977","7998","2",
"1977","8030","9",
"1977","8092","1",
"1977","8110","5",
"1977","8201","2",
"1977","8250","1",
"1977","8337","9",
"1977","8366","5",
"1977","8388","5",
"1977","8396","2",
"1977","8571","9",
"1977","8720","1",
"1977","8804","7",
"1977","9001","3",
"1977","9105","4",
"1977","9223","2",
"1977","9577","8",
"1977","9748","1",
"1977","9757","3",
"1977","9790","4",
"1977","9856","9",
"1977","9863","9",
"1977","9878","8",
"1978","94","2",
"1978","105","6",
"1978","154","1",
"1978","279","3",
"1978","289","5",
"1978","309","8",
"1978","463","1",
"1978","557","0",
"1978","562","6",
"1978","601","0",
"1978","627","0",
"1978","633","3",
"1978","824","7",
"1978","1016","0",
"1978","1045","1",
"1978","1096","9",
"1978","1135","9",
"1978","1239","2",
