"Campus","Year","TotalEnrollment_AY","FTE_AY",
"119","1990","29483431","907",
"120","1972","9615973","247",
"121","2007","220324009","729",
"122","2016","2","738",
"123","2005","303753793","99",
"124","2004","1228","2",
"125","2014","4316849","971",
"126","2004","36","693",
"127","2001","1200041","682",
"128","1988","4698","69",
"129","2021","4728","348",
"130","1995","0","309",
"131","1987","6914555","851",
"132","1975","2","618",
"133","2019","127","944",
"134","1973","94219","499",
"135","1998","137","77",
"136","1989","0","47",
"137","2023","14940951","525",
"138","2011","2761","199",
"139","1989","19597","765",
"140","2008","6","378",
"141","1997","11","963",
"142","2007","1992984","265",
"143","1986","1311877","837",
"144","1971","189702","216",
"145","1993","51","538",
"146","2015","1","82",
"147","1980","7874","248",
"148","1995","2444488","401",
"149","2016","28","11",
"150","1972","34","119",
"151","1981","55698","635",
"152","1983","42353","562",
"153","1981","5","319",
"154","1999","10043749","149",
"155","1995","6","967",
"156","2003","57","343",
"157","2021","36","562",
"158","1987","9221","691",
"159","1998","60258","855",
"160","1996","0","460",
"161","1970","24099959","533",
"162","1974","4","324",
"163","1970","0","597",
"164","1970","21","599",
"165","1988","4126672","245",
"166","1984","634","228",
"167","2010","987591","628",
"168","1984","6","212",
"169","2000","6259257","224",
"170","2015","83","526",
"171","1998","665","860",
"172","2005","25969","717",
"173","1987","0","157",
"174","1978","0","200",
"175","1982","730361","771",
"176","2001","56","289",
"177","2004","0","249",
"178","2017","7468341","4",
"179","2015","960","267",
"180","2000","0","724",
"181","2016","18","344",
"182","1994","1","77",
"183","1986","182548","121",
"184","1973","52","475",
"185","1980","8999681","751",
"186","2022","1","16",
"187","2022","195","576",
"188","1976","306117342","582",
"189","1992","0","636",
"190","1998","139","712",
"191","1970","0","114",
"192","2010","71123","289",
"193","2025","0","885",
"194","1995","170191","629",
"195","2016","23650468","101",
"196","1979","1","783",
"197","1996","0","846",
"198","1973","0","313",
"199","2006","5011992","629",
"200","2003","1800520","915",
"201","1998","90424","852",
"202","2008","330","4",
"203","1986","4","691",
"204","1975","309434243","541",
"205","1997","626134983","951",
"206","1994","28","997",
"207","2013","51","178",
"208","1984","0","418",
"209","1987","2","242",
"210","1979","1684653","823",
"211","1984","186604","200",
"212","1995","22836897","401",
"213","1989","12","216",
"214","2006","513428161","211",
"215","1982","275186","403",
"216","2014","37238","409",
"217","1992","401","598",
"218","1997","5","649",
"219","2010","17","472",
"220","1986","6845","497",
"221","1974","403723826","472",
"222","1975","3382841","270",
"223","2011","25","163",
"224","2011","48","129",
"225","2018","14","770",
"226","1997","0","661",
"227","1980","42313","637",
"228","1983","24","296",
"229","2003","2791912","491",
"230","2015","42259","873",
"231","1985","40520","398",
"232","2020","2516","129",
"233","2002","68903473","641",
"234","1979","238","40",
"235","1995","18","910",
"236","1974","1","283",
"237","2009","216839","358",
"238","2009","44698","381",
"239","1974","0","884",
"240","2007","6730980","49",
"241","1994","10378586","261",
"242","2024","4251","438",
"243","2016","57677465","659",
"244","1991","0","981",
"245","1977","126","43",
"246","2004","12","791",
"247","2009","640","328",
"248","1973","122535","470",
"249","2011","2629633","194",
"250","2006","1218","467",
"251","1974","0","990",
"252","2023","50487388","715",
"253","2021","39971578","89",
"254","2003","8349","942",
"255","2004","961","710",
"256","1972","442","124",
"257","1972","5219694","926",
"258","2017","692633829","859",
"259","1990","1516664","407",
"260","1975","67704919","648",
"261","1971","48","598",
"262","1995","389018","991",
"263","2000","0","77",
"264","1984","533","105",
"265","2009","26293","961",
"266","1990","7130446","769",
"267","1985","36663523","929",
"268","2012","27052","378",
"269","1987","312750","787",
"270","1984","10","205",
"271","2013","1940","795",
"272","2010","8","751",
"273","1994","660468","656",
"274","2019","0","709",
"275","2006","36","973",
"276","1992","125287","684",
"277","2010","47493","276",
"278","2021","116822943","537",
"279","2008","416661","220",
"280","2005","2","41",
"281","2021","18058","107",
"282","2023","219794","300",
"283","2020","5738795","16",
"284","2020","28205","217",
"285","1999","0","163",
"286","2016","154181","79",
"287","2013","130352","760",
"288","1985","7","537",
"289","2012","20655017","943",
"290","1981","2","82",
"291","2010","12919214","472",
"292","1998","4405093","981",
"293","2005","42744159","120",
"294","1999","17736","966",
"295","2021","4","126",
"296","1983","57","149",
"297","2011","82","543",
"298","1995","1361","282",
"299","2014","1","618",
"300","1991","805418","190",
"301","1984","288194180","812",
"302","1993","2","124",
"303","2003","3","580",
"304","1999","1344525","341",
"305","2024","25480440","580",
"306","1979","2015","209",
"307","1990","1","276",
"308","1991","11","232",
"309","1996","3","175",
"310","1985","0","109",
"311","2021","1","440",
"312","1970","0","957",
"313","2018","0","335",
"314","1972","63","646",
"315","2000","28","955",
"316","1987","22","339",
"317","1983","14266","878",
"318","2016","101493","343",
"319","1972","344742","845",
"320","2000","0","705",
"321","2010","184","280",
"322","2013","944","701",
"323","1999","70","750",
"324","2019","1695401","290",
"325","1987","13","206",
"326","2000","0","417",
"327","1973","24693","333",
"328","2011","228264","635",
"329","2016","78","463",
"330","2010","4882404","992",
"331","2021","7198369","538",
"332","2020","206880021","222",
"333","1996","6295304","367",
"334","1971","1","16",
"335","2022","8543","214",
"336","2013","3893471","805",
"337","1976","13618","575",
"338","2025","409","957",
"339","2021","501","443",
"340","2001","1","564",
"341","2014","26561","172",
"342","2020","2053","914",
"343","2002","19410","606",
"344","1980","21731691","699",
"345","1996","169656824","162",
"346","1979","22266435","500",
"347","2024","2688423","213",
"348","2020","177","87",
"349","1975","0","255",
"350","2025","154007655","609",
"351","2021","198794","657",
"352","2006","0","539",
"353","1987","335864","270",
"354","1972","68253","709",
"355","2017","2934492","144",
"356","1984","59","745",
"357","1978","6073","723",
"358","1987","547946","424",
"359","1985","22982280","19",
"360","1999","0","789",
"361","1974","1227","971",
"362","1994","1","160",
"363","2018","3","106",
"364","2022","498365","182",
"365","1998","3610","604",
"366","2016","334","422",
"367","2005","12","313",
"368","2003","222454","816",
"369","2017","23","493",
"370","2023","4388558","41",
"371","1973","4","186",
"372","2003","7082221","230",
"373","2016","4","188",
"374","1985","5","858",
"375","2019","142","775",
"376","2005","515","930",
"377","2013","52","672",
"378","1971","6186603","63",
"379","1975","7","254",
"380","2020","20","364",
"381","2015","42253","251",
"382","1990","109901","402",
"383","1975","19","701",
"384","1989","226","225",
"385","1988","21","846",
"386","1978","11238","479",
"387","1991","0","143",
"388","2001","0","855",
"389","1980","2401","919",
"390","1993","3247","731",
"391","2001","225057323","209",
"392","1983","501348973","528",
"393","1972","0","309",
"394","1983","22379","833",
"395","1997","11703909","425",
"396","1992","255888","297",
"397","1999","575815744","682",
"398","1993","25716","327",
"399","1978","2807749","93",
"400","2009","11957","417",
"401","1978","4582","399",
"402","2000","9","608",
"403","2007","2","617",
"404","2000","45594229","269",
"405","2015","175","885",
"406","1997","37","892",
"407","1985","22441","477",
"408","1981","2447","324",
"409","2019","41","505",
"410","2006","169","691",
"411","2019","0","528",
"412","1973","2164670","227",
"413","1992","5","316",
"414","1996","53829643","946",
"415","2005","209513733","650",
"416","1977","0","584",
"417","2016","55","56",
"418","1978","2","30",
"419","2024","60369078","339",
"420","1988","84128","269",
"421","2016","5472","303",
"422","1978","3997","894",
"423","2001","3","224",
"424","2016","31421","922",
"425","2017","1203402","463",
"426","2024","7","937",
"427","2009","0","426",
"428","2016","49912","505",
"429","1982","56964","715",
"430","1982","0","661",
"431","1999","294438","333",
"432","1980","213","890",
"433","1979","331","913",
"434","1982","61488925","278",
"435","1995","0","596",
"436","1986","681070","220",
"437","1993","32","634",
"438","1975","13","582",
"439","1996","86284","452",
"440","1971","162066","428",
"441","1982","0","568",
"442","1990","6134260","410",
"443","1974","13050948","999",
"444","1978","718","353",
"445","2010","875","465",
"446","2011","217686","468",
"447","2021","3765","605",
"448","2003","296","858",
"449","1980","84021","890",
"450","1987","15676827","480",
"451","1990","43","993",
"452","1994","9","791",
"453","1981","0","492",
"454","2001","0","769",
"455","2011","0","856",
"456","1970","54680881","930",
"457","1984","35563240","870",
"458","2002","0","483",
"459","1993","0","889",
"460","1988","1490","178",
"461","1992","436","959",
"462","1984","627015","196",
"463","2005","68","301",
"464","1983","1","986",
"465","2020","6881065","58",
"466","1970","0","582",
"467","1972","1709","494",
"468","1981","48","568",
"469","1974","35924","492",
"470","1993","9939067","723",
"471","2003","348","30",
"472","1975","339181059","872",
"473","1999","15232907","551",
"474","1985","0","575",
"475","1993","185012","272",
"476","1985","637597221","301",
"477","2002","44635","383",
"478","2003","494326514","637",
"479","2017","384","8",
"480","2007","163","968",
"481","1977","40","455",
"482","1981","76354187","805",
"483","1989","1933","380",
"484","1970","25731","1",
"485","1974","0","23",
"486","2003","616","623",
"487","2013","1050179","315",
"488","2006","172846","130",
"489","2011","0","896",
"490","1979","43638988","232",
"491","1970","751065","176",
"492","1975","2490","102",
"493","1985","14190","351",
"494","1999","4315246","553",
"495","2013","2","987",
"496","2008","218","145",
"497","2019","2","687",
"498","1984","517","632",
"499","1996","4151067","4",
"500","1974","72189176","778",
"501","1970","226","810",
"502","1984","3170920","680",
"503","1984","0","419",
"504","1979","1735638","700",
"505","2017","15004365","364",
"506","2013","656287","473",
"507","1999","57240697","329",
"508","2021","0","331",
"509","2008","50996971","507",
"510","2006","0","921",
"511","1992","18","133",
"512","2022","0","409",
"513","1985","108","275",
"514","2015","39113","551",
"515","1990","54606669","736",
"516","2023","201","721",
"517","2018","15239","63",
"518","2002","899","503",
"519","1980","767","378",
"520","2025","20737","426",
"521","2024","147106","994",
"522","2021","0","78",
"523","2010","634493","297",
"524","2005","546257","387",
"525","1983","56246","99",
"526","2018","683675","38",
"527","2021","0","166",
"528","1979","374004","102",
"529","2004","138395833","236",
"530","2002","18","342",
"531","2008","3","78",
"532","2022","6148","754",
"533","1974","0","933",
"534","2011","0","668",
"535","2015","968538","148",
"536","2013","634","138",
"537","1979","36585524","401",
"538","2023","313","979",
"539","2008","111636","175",
"540","2013","155224","302",
"541","2011","55061","617",
"542","1975","809826886","599",
"543","1978","37","910",
"544","1974","47","604",
"545","2013","0","737",
"546","2014","0","167",
"547","1990","17","623",
"548","2004","20","949",
"549","2012","0","370",
"550","1991","39","239",
"551","2016","108","334",
"552","1971","4026329","58",
"553","1982","286548","702",
"554","2018","55474","421",
"555","1974","7","187",
"556","1995","0","736",
"557","2021","9","696",
"558","2002","1791493","320",
"559","2011","49848","302",
"560","1986","29","216",
"561","2009","865","170",
"562","1970","6557","478",
"563","1984","0","904",
"564","1982","62403","416",
"565","2007","148929281","587",
"566","2008","797","725",
"567","1988","234414","453",
"568","2006","25","168",
"569","1993","4824","391",
"570","2022","65","80",
"571","1974","13961912","960",
"572","1998","11676","611",
"573","1983","42817525","35",
"574","2006","397","79",
"575","1981","65328667","272",
"576","2004","0","116",
"577","2000","5698672","31",
"578","1991","162866852","751",
"579","2004","439266304","825",
"580","1999","5661","605",
"581","1976","49801","350",
"582","1974","1540214","30",
"583","2022","60248","961",
"584","1978","112446","105",
"585","1998","32453355","82",
"586","1975","1701926","627",
"587","1987","77896","936",
"588","1978","0","286",
"589","1973","26199039","597",
"590","2000","475422","795",
"591","1998","688","892",
"592","2022","79","736",
"593","1978","3702","446",
"594","1989","822338","821",
"595","2017","51","200",
"596","1995","0","220",
"597","2006","1877","986",
"598","2021","23","977",
"599","2012","10346524","8",
"600","2019","141149","616",
"601","2008","25675","875",
"602","1992","33117009","672",
"603","2019","309","795",
"604","1973","4","347",
"605","1987","778117230","762",
"606","1985","616570","44",
"607","2016","469456322","645",
"608","2001","10","439",
"609","2022","307812","322",
"610","1988","4224698","963",
"611","2009","2085","206",
"612","2013","2181364","557",
"613","1992","22569","313",
"614","2011","387","636",
"615","2025","1153","31",
"616","2021","216423","186",
"617","2014","330","58",
"618","2022","300417009","449",
"619","2001","16","493",
"620","1978","221833","289",
"621","1978","3240301","957",
"622","1994","4243883","334",
"623","2001","6834378","623",
"624","2014","9","129",
"625","2002","376668","22",
"626","1971","0","68",
"627","1982","1","236",
"628","1974","4","851",
"629","1998","11","933",
"630","1989","1","133",
"631","1978","273","570",
"632","1973","7807","812",
"633","2004","2","878",
"634","2010","88734513","611",
"635","2001","4733944","942",
"636","1973","39","581",
"637","1989","0","531",
"638","1978","136","500",
"639","2000","0","943",
"640","2025","54821","65",
"641","2015","1","899",
"642","2004","0","234",
"643","2025","5348354","80",
"644","2008","0","888",
"645","2005","700951371","966",
"646","1994","0","386",
"647","2013","9","649",
"648","2012","31299659","565",
"649","2002","27563280","32",
"650","1988","4","547",
"651","1975","395","596",
"652","2004","2960789","349",
"653","2012","155","22",
"654","1982","72912","66",
"655","1996","52732768","947",
"656","2024","0","298",
"657","1976","28","143",
"658","1989","0","869",
"659","2022","0","472",
"660","2019","1620933","540",
"661","2013","0","545",
"662","2011","408","193",
"663","2005","478","139",
"664","1994","2","37",
"665","1995","17935","869",
"666","2003","212979383","649",
"667","1984","5627623","34",
"668","2014","4178401","773",
"669","2013","4145905","628",
"670","1987","4","750",
"671","1996","0","641",
"672","1982","379","985",
"673","2013","0","339",
"674","2002","64","415",
"675","1987","1","157",
"676","1980","319112","920",
"677","1982","24773591","426",
"678","2002","97262","922",
"679","2020","4249","927",
"680","2002","0","458",
"681","1977","8","438",
"682","2016","999","45",
"683","1996","212667","471",
"684","1989","194","761",
"685","2000","812133657","229",
"686","1976","0","950",
"687","2015","0","205",
"688","2021","467226102","923",
"689","1983","0","731",
"690","1998","1","442",
"691","2023","243175","58",
"692","1988","34431","748",
"693","1978","1799","237",
"694","1990","1522","282",
"695","1991","367913","141",
"696","2017","4156228","205",
"697","1977","76","585",
"698","1993","2087","654",
"699","1992","46998","680",
"700","1999","76576","462",
"701","2006","35","750",
"702","2017","4","62",
"703","1980","3985514","924",
"704","2018","2299","117",
"705","2019","4","259",
"706","1986","2815","670",
"707","2011","0","833",
"708","1971","4","797",
"709","1984","379531","91",
"710","2009","1499","179",
"711","2015","58888241","969",
"712","1998","2369","668",
"713","1970","7194110","400",
"714","2014","0","272",
"715","1973","475982961","607",
"716","1997","0","107",
"717","1977","412251320","874",
"718","2007","39958320","124",
"719","2011","6110","378",
"720","1999","314828","841",
"721","2006","11630622","882",
"722","1977","1156","837",
"723","1985","0","810",
"724","2023","0","95",
"725","2020","597717694","166",
"726","1997","7026200","783",
"727","1988","168224","595",
"728","2023","152","969",
"729","1989","0","47",
"730","2001","3613217","588",
"731","1992","321","340",
"732","1972","1","814",
"733","1986","241","967",
"734","1976","4","195",
"735","1994","134","557",
"736","2025","940702","230",
"737","2000","1949759","391",
"738","1975","4256","4",
"739","1981","18761","71",
"740","1975","10767","368",
"741","1982","832961","27",
"742","2024","64959876","326",
"743","2019","185190937","573",
"744","2014","87226","393",
"745","1982","1832","245",
"746","1985","110","454",
"747","2022","1993862","261",
"748","2009","1216654","281",
"749","1973","657","282",
"750","2003","0","56",
"751","1990","2","275",
"752","1999","0","395",
"753","1997","1652","261",
"754","2000","89","347",
"755","1994","6088","429",
"756","1993","242528060","317",
"757","2020","6389","702",
"758","1999","17872","882",
"759","2022","0","304",
"760","1984","28","506",
"761","2011","4","643",
"762","1985","8595698","900",
"763","1976","11394","918",
"764","2018","0","907",
"765","2013","6382","480",
"766","1978","165","378",
"767","1985","2419809","842",
"768","2007","4813","934",
"769","2012","65","659",
"770","1971","550533","612",
"771","1978","39445","144",
"772","1987","27216255","674",
"773","1979","152227","960",
"774","2014","17","7",
"775","1992","11157","15",
"776","2021","427","820",
"777","2016","125588","783",
"778","1992","394838845","579",
"779","1993","628284","467",
"780","2016","0","237",
"781","2001","41746","853",
"782","1971","79219199","676",
"783","1976","589196","597",
"784","1987","244315667","66",
"785","2025","0","278",
"786","2014","278773","535",
"787","2013","26571021","719",
"788","1979","6","437",
"789","1990","619640289","573",
"790","2002","0","115",
"791","1987","43","117",
"792","1985","176992","503",
"793","1977","392218454","146",
"794","1978","171059","183",
"795","2008","98083","474",
"796","1982","110126","639",
"797","1981","405","151",
"798","2020","310654","32",
"799","1989","35368","611",
"800","2025","235065621","289",
"801","1977","955468084","393",
"802","1972","0","883",
"803","1990","1","371",
"804","2024","38227","52",
"805","1996","2790","550",
"806","2020","52","558",
"807","1982","13613","674",
"808","1995","0","567",
"809","1978","13402956","596",
"810","2007","440718324","361",
"811","1996","78421015","635",
"812","1970","32","543",
"813","2006","8","852",
"814","2014","0","134",
"815","2012","518876","895",
"816","1981","0","804",
"817","2021","23","292",
"818","1991","430962","545",
"819","1972","79","798",
"820","2012","6740","163",
"821","1984","496","316",
"822","2024","790","226",
"823","2024","3","484",
"824","1997","12","15",
"825","2019","543924","905",
"826","2000","76","498",
"827","1993","983380","252",
"828","2011","546","607",
"829","1999","0","569",
"830","2001","45547","408",
"831","1990","26397943","150",
"832","1989","1193633","835",
"833","1990","3474909","247",
"834","2009","13081","231",
"835","2018","524","843",
"836","1999","216942","123",
"837","1976","10366356","287",
"838","1984","6","392",
"839","1974","420251","752",
"840","1975","261784","917",
"841","1997","71","934",
"842","1992","5836738","539",
"843","2013","1512927","844",
"844","1989","17807424","816",
"845","2003","336","912",
"846","1994","21","456",
"847","2017","2","471",
"848","1973","389","242",
"849","2017","0","901",
"850","1976","682","732",
"851","2013","2484629","255",
"852","1997","6639","729",
"853","2021","26","857",
"854","1980","29652","421",
"855","2023","1342","346",
"856","1980","0","174",
"857","1973","10","180",
"858","2019","0","116",
"859","1970","248","428",
"860","2012","1939","469",
"861","1987","0","410",
"862","1995","314","389",
"863","1998","72","170",
"864","2013","0","947",
"865","1984","4","267",
"866","1979","0","686",
"867","1985","123743389","624",
"868","2004","17454188","926",
"869","1983","0","234",
"870","2003","24103934","435",
"871","1976","7454173","736",
"872","1999","2722375","685",
"873","1973","3901628","979",
"874","1998","0","206",
"875","2010","2929243","579",
"876","1986","0","597",
"877","2004","4257891","274",
"878","2021","7855","820",
"879","2010","33467","861",
"880","1995","38","716",
"881","2010","16511","226",
"882","1973","77","212",
"883","2000","34","958",
"884","2012","4326","365",
"885","2011","287265213","391",
"886","1986","286131933","197",
"887","1979","116556","292",
"888","1978","129","538",
"889","1994","44530830","166",
"890","1998","0","199",
"891","1976","930488","912",
"892","1989","433065620","952",
"893","1993","42709929","504",
"894","2021","672","754",
"895","1996","1","683",
"896","1983","1","558",
"897","2012","384146","265",
"898","1988","0","106",
"899","2019","3","66",
"900","2011","3","714",
"901","1988","3237147","484",
"902","2021","698381493","894",
"903","1974","140793","551",
"904","2016","17504175","134",
"905","1994","59","392",
"906","2004","67686","404",
"907","1973","1213243","588",
"908","1991","6","983",
"909","2009","160984895","177",
"910","2012","108","135",
"911","1981","3980965","890",
"912","2013","87","552",
"913","2003","4378194","464",
"914","1986","40663","496",
"915","1996","0","81",
"916","1986","0","951",
"917","2017","56476","254",
"918","1976","1174","500",
"919","2016","658","900",
"920","1998","34","183",
"921","1991","362","236",
"922","1998","11071","883",
"923","2024","2","467",
"924","1982","1031631","605",
"925","1976","431","361",
"926","1977","3","392",
"927","2020","14","823",
"928","2003","7452847","243",
"929","1975","197006396","825",
"930","1993","254943691","431",
"931","1976","42","95",
"932","1983","6395602","944",
"933","1994","4547","677",
"934","2002","503674","755",
"935","1993","206038180","114",
"936","2011","36","57",
"937","2025","28243888","893",
"938","1989","103119566","988",
"939","2008","239","466",
"940","2007","250751527","765",
"941","1982","314","737",
"942","2024","2218","881",
"943","1995","384025","481",
"944","1995","2478","544",
"945","2017","45073019","862",
"946","1985","29859014","101",
"947","1976","172550","224",
"948","2018","97","350",
"949","1982","18","284",
"950","2021","262","391",
"951","2015","227805","617",
"952","2020","71020083","995",
"953","2024","1757573","711",
"954","1996","43","705",
"955","1989","4","365",
"956","1977","119","751",
"957","2011","0","597",
"958","1989","4","340",
"959","2007","1530","978",
"960","2005","10430835","182",
"961","2013","3020927","792",
"962","1972","6255","287",
"963","1984","1901229","926",
"964","1977","352","774",
"965","1977","62885741","713",
"966","1981","66","920",
"967","2001","2836","636",
"968","2000","19142","146",
"969","1975","0","855",
"970","1998","2","392",
"971","2006","48","317",
"972","1993","5440","726",
"973","1980","0","858",
"974","2008","24","451",
"975","2001","490","25",
"976","2009","2739791","690",
"977","1977","3908944","868",
"978","1972","6","680",
"979","1993","17612","643",
"980","2003","393742","85",
"981","1990","5298","856",
"982","2013","0","969",
"983","2020","304384","137",
"984","1981","248631","44",
"985","1976","2","138",
"986","2007","52015275","381",
"987","2020","18","830",
"988","2008","0","587",
"989","2018","0","255",
"990","2006","334183457","635",
"991","2021","94624524","295",
"992","1974","0","435",
"993","2002","2174","3",
"994","1991","7","868",
"995","1974","114375","910",
"996","2009","114936","840",
"997","1975","45","658",
"998","2002","0","89",
"999","1987","2619","278",
"1000","2008","29","415",
"1001","1988","634576","664",
"1002","2023","104533042","962",
"1003","1977","92949","10",
"1004","2019","383158705","386",
"1005","2012","187216","482",
"1006","1984","132210724","687",
"1007","1997","221226492","536",
"1008","1997","0","869",
"1009","2014","556","809",
"1010","1980","45612","762",
"1011","2000","36792608","237",
"1012","2025","2","926",
"1013","2015","302","732",
"1014","1972","533674","825",
"1015","2007","0","499",
"1016","1990","6489848","181",
"1017","2014","4815","402",
"1018","2014","228519","548",
"1019","2002","4426159","613",
"1020","1977","17418","649",
"1021","1988","299639100","49",
"1022","2012","449170","594",
"1023","2003","23","573",
"1024","1985","0","230",
"1025","1975","62","891",
"1026","1981","0","528",
"1027","1991","8104","164",
"1028","1996","83517","106",
"1029","2002","3","149",
"1030","2014","4200750","66",
"1031","1984","4536108","390",
"1032","2007","5746303","58",
"1033","2018","317851","295",
"1034","1980","871106","836",
"1035","2008","483341","770",
"1036","2010","358136423","564",
"1037","2012","0","216",
"1038","2002","3","401",
"1039","2024","90","808",
"1040","2025","152","102",
"1041","2024","26392689","140",
"1042","2019","2011589","449",
"1043","1992","1168","585",
"1044","2001","3","533",
"1045","2022","3695312","243",
"1046","1994","73597263","301",
"1047","2023","5329","701",
"1048","1985","1","185",
"1049","2001","821","168",
"1050","1974","0","742",
"1051","1998","6458846","911",
"1052","1999","79055","466",
"1053","1989","4454","172",
"1054","1989","38226","231",
"1055","1975","0","18",
"1056","1998","21891","928",
"1057","1996","0","969",
"1058","1971","0","851",
"1059","1992","506976133","312",
"1060","1971","0","74",
"1061","1993","12868215","237",
"1062","1984","2","200",
"1063","1985","427804487","885",
"1064","2006","3","672",
"1065","2022","49","916",
"1066","1982","32","313",
"1067","1987","43","703",
"1068","2019","481410","200",
"1069","1972","7038","195",
"1070","2003","0","52",
"1071","2001","5519","510",
"1072","2004","6953","483",
"1073","1991","8975641","876",
"1074","2007","8084","205",
"1075","2025","142452004","47",
"1076","1992","4","844",
"1077","2003","57714","240",
"1078","1987","46","604",
"1079","1993","70347","59",
"1080","2009","191745697","115",
"1081","2018","2217320","141",
"1082","2012","421555","2",
"1083","1995","238694","739",
"1084","1999","565742373","0",
"1085","1996","470","945",
"1086","1986","34251","370",
"1087","2020","9674478","642",
"1088","2001","0","196",
"1089","1980","9206","33",
"1090","1977","19524030","487",
"1091","1981","572257417","629",
"1092","1981","0","659",
"1093","1999","265032","800",
"1094","2000","3670","22",
"1095","2023","15063","237",
"1096","2002","196873","187",
"1097","1991","15","715",
"1098","1984","0","388",
"1099","1978","0","709",
"1100","1980","0","114",
"1101","1996","22835","994",
"1102","2018","17852","725",
"1103","1974","39373833","296",
"1104","2001","25364","903",
"1105","2020","570590098","256",
"1106","1975","142619","113",
"1107","1982","231734","289",
"1108","1974","570","262",
"1109","1974","25","30",
"1110","2014","18","724",
"1111","2011","278","408",
"1112","2022","61385","299",
"1113","1992","75","41",
"1114","2001","20234391","65",
"1115","1998","9","277",
"1116","2000","192","871",
"1117","1984","0","515",
"1118","2000","7888724","907",
"1119","1972","220","430",
"1120","2003","580","123",
"1121","1995","118","456",
"1122","1980","27","641",
"1123","1978","0","815",
"1124","2015","263173287","832",
"1125","1992","10915244","458",
"1126","1999","198322786","365",
"1127","2005","1694","17",
"1128","1972","515446967","157",
"1129","2011","76","178",
"1130","2000","13339897","953",
"1131","1995","0","202",
"1132","1973","19111","876",
"1133","2020","1020","138",
"1134","2014","5","69",
"1135","1983","36196","153",
"1136","1992","3","674",
"1137","2011","4","551",
"1138","1993","1625","165",
"1139","1976","34756","744",
"1140","1994","347420","78",
"1141","1999","6711","238",
"1142","1996","71413","876",
"1143","1985","54372","115",
"1144","1972","1","553",
"1145","2009","206","978",
"1146","1984","162","381",
"1147","1994","311885","834",
"1148","2007","3596468","846",
"1149","2005","0","990",
"1150","1990","1","829",
"1151","1991","566","899",
"1152","1996","165164937","800",
"1153","2015","7811","623",
"1154","1977","675267","433",
"1155","2001","56797988","465",
"1156","1988","167","458",
"1157","2012","5433014","159",
"1158","2021","0","29",
"1159","2011","119493","514",
"1160","2011","1","965",
"1161","1995","0","10",
"1162","2023","0","99",
"1163","2015","2","812",
"1164","2001","597668","234",
"1165","2023","15089292","932",
"1166","1993","57921757","608",
