"Campus","Year","CampusFee",
"374","2023","18",
"375","1972","3319870",
"376","2011","0",
"377","2002","7339",
"378","2016","33992",
"379","2021","5632",
"380","1972","425",
"381","2025","45",
"382","2007","425",
"383","1989","7",
"384","1981","190597647",
"385","2009","71",
"386","1994","15236977",
"387","1984","944455368",
"388","1975","0",
"389","2008","31607537",
"390","2001","6424",
"391","1980","0",
"392","1992","9",
"393","2008","5",
"394","1973","4709",
"395","2011","33188",
"396","2015","18609",
"397","1985","64",
"398","2016","2323963",
"399","1992","8",
"400","1984","92",
"401","1992","488",
"402","2000","69",
"403","2004","466",
"404","2002","333",
"405","1989","55144",
"406","2016","18",
"407","2018","5793308",
"408","2005","553597220",
"409","2008","699460",
"410","1981","61703508",
"411","1976","24269",
"412","2018","0",
"413","1991","160380",
"414","2020","96135751",
"415","1979","6",
"416","2018","0",
"417","1971","32542948",
"418","2002","5",
"419","1972","53095485",
"420","2004","316164986",
"421","1991","3676093",
"422","2024","0",
"423","2021","24566362",
"424","1999","48",
"425","1994","6566",
"426","2006","56685157",
"427","2013","558",
"428","1981","77424",
"429","1987","36142672",
"430","2017","91",
"431","1970","540472154",
"432","2003","4437",
"433","2022","8",
"434","2012","1703",
"435","1978","9",
"436","2017","7051",
"437","2016","0",
"438","2009","527",
"439","1971","788",
"440","2017","2677",
"441","2008","293",
"442","1970","7",
"443","2004","365860814",
"444","2007","79",
"445","2005","10709",
"446","2015","82497805",
"447","2002","8486834",
"448","2016","0",
"449","2005","941933",
"450","2013","120284",
"451","1972","13959805",
"452","2022","5",
"453","2012","0",
"454","1988","0",
"455","1994","52561",
"456","1990","2",
"457","1978","48429",
"458","1973","23563",
"459","1982","30",
"460","1999","53640264",
"461","2020","69595526",
"462","2023","52927",
"463","2004","3442764",
"464","1999","0",
"465","1988","269140",
"466","1970","46791621",
"467","1981","50196",
"468","2009","708",
"469","1994","981",
"470","2006","47",
"471","1978","23551880",
"472","1985","898",
"473","1995","868724",
"474","1990","375216",
"475","1993","30817324",
"476","2014","1643861",
"477","1997","0",
"478","1997","98073",
"479","2017","784680799",
"480","1979","581529",
"481","1987","2669",
"482","1982","7587330",
"483","2006","660",
"484","2009","95374",
"485","1995","14960778",
"486","2009","581916083",
"487","2022","4127",
"488","1989","365",
"489","2023","0",
"490","1972","617252130",
"491","1970","2128",
"492","1993","0",
"493","1971","18204497",
"494","1994","4055663",
"495","1993","946209",
"496","1984","4",
"497","1978","5559",
"498","1974","9043626",
"499","2020","377948",
"500","1997","25174",
"501","1974","994960",
"502","2024","87",
"503","2012","14163",
"504","2008","428075",
"505","2013","3875",
"506","2007","85470",
"507","1970","4438",
"508","1984","22213013",
"509","1983","186767629",
"510","1990","105",
"511","1999","99",
"512","2025","866670",
"513","1988","59086",
"514","2017","5",
"515","2018","14619",
"516","1977","63836",
"517","1993","3310731",
"518","2003","61424182",
"519","2000","450142539",
"520","2023","18",
"521","2025","411050245",
"522","2005","4952509",
"523","2016","90",
"524","1994","759082",
"525","1987","9299665",
"526","1980","76037322",
"527","2022","848061697",
"528","1973","97279",
"529","1988","75423202",
"530","2015","6072319",
"531","1997","96",
"532","2017","2",
"533","1991","3363",
"534","1989","5873503",
"535","1996","86",
"536","1976","58178742",
"537","1989","0",
"538","2009","9767",
"539","2020","725011787",
"540","2018","5256",
"541","1993","0",
"542","2008","0",
"543","1979","50698",
"544","1992","55942720",
"545","2018","37",
"546","2006","33738720",
"547","1992","3413",
"548","2019","4889",
"549","1977","5403",
"550","2002","896",
"551","2001","9",
"552","1982","314471711",
"553","1993","304604",
"554","1978","0",
"555","2021","358469813",
"556","1971","206297959",
"557","1997","74229023",
"558","2002","7",
"559","2003","650399496",
"560","2006","2436",
"561","2000","701026404",
"562","1981","529",
"563","1996","7146",
"564","2000","8906416",
"565","2013","897724293",
"566","2008","82398",
"567","1987","18919284",
"568","2001","591",
"569","1995","132",
"570","1985","7322527",
"571","1985","0",
"572","2001","9",
"573","1991","86801",
"574","2023","473983",
"575","2017","3740156",
"576","1987","308005681",
"577","2020","8724280",
"578","1981","568393",
"579","2006","0",
"580","1972","7951",
"581","2018","3648",
"582","1971","440937886",
"583","2025","459305554",
"584","2011","526",
"585","1989","8953662",
"586","2009","6957787",
"587","2004","988",
"588","2000","75558",
"589","1995","414",
"590","2025","9806",
"591","1980","9220",
"592","1992","436510284",
"593","1970","37970661",
"594","1999","21475",
"595","2017","564",
"596","2015","1",
"597","1976","1583",
"598","2002","6950440",
"599","1979","364989",
"600","1993","497136957",
"601","1972","595843183",
"602","2015","0",
"603","2008","580788",
"604","1978","26854746",
"605","1988","7093236",
"606","1995","551",
"607","1978","579",
"608","1970","655485212",
"609","1994","916",
"610","2019","677819",
"611","2022","0",
"612","1990","6",
"613","1988","58",
"614","2022","7436",
"615","2022","948817",
"616","2009","96",
"617","2012","596259",
"618","1991","8",
"619","2025","82819",
"620","2005","337",
"621","1982","72267071",
"622","2020","91551494",
"623","1970","0",
"624","2011","0",
"625","2018","5933",
"626","1972","6000609",
"627","2010","4",
"628","1975","423035",
"629","1983","963",
"630","2018","939644",
"631","1976","924483",
"632","2010","650",
"633","2000","5956",
"634","1985","72265",
"635","1973","30536",
"636","2009","24329",
"637","2011","89",
"638","1974","0",
"639","2015","76",
"640","2022","72718191",
"641","2015","426790",
"642","2009","8137817",
"643","1976","8899770",
"644","1975","0",
"645","1971","7",
"646","2010","6044971",
"647","2000","2",
"648","2015","1064",
"649","2015","23509743",
"650","2019","97165",
"651","1992","2300404",
"652","2015","36840346",
"653","2009","533876366",
"654","2011","3219",
"655","1988","7791",
"656","2014","6780882",
"657","1976","672003439",
"658","1991","943",
"659","1972","66857210",
"660","1988","235442655",
"661","1979","46084",
"662","2001","491401",
"663","2005","756",
"664","1999","2",
"665","1992","272216",
"666","1980","856",
"667","2016","85",
"668","1971","3",
"669","1970","470069000",
"670","1974","2057919",
"671","2008","572071",
"672","2022","6553",
"673","2017","527247",
"674","2016","3775261",
"675","2000","643",
"676","1974","1970315",
"677","1985","0",
"678","1981","9691627",
"679","2015","5876",
"680","1986","2560",
"681","2016","8",
"682","2009","69",
"683","2024","0",
"684","2024","0",
"685","1981","6",
"686","2005","7623",
"687","2016","0",
"688","1993","8",
"689","2023","1",
"690","1978","3",
"691","1977","363",
"692","1992","103679",
"693","1982","0",
"694","2007","0",
"695","2011","6",
"696","2020","8",
"697","1996","625",
"698","1985","0",
"699","1989","66451790",
"700","1974","60",
"701","2005","250394044",
"702","1997","80352",
"703","1986","760437395",
"704","1993","2313",
"705","1995","511513721",
"706","2023","58797607",
"707","2002","45231",
"708","2003","76594",
"709","1980","62508926",
"710","1993","8",
"711","2024","62338103",
"712","1978","911413",
"713","1988","92052",
"714","2010","0",
"715","1979","906929633",
"716","1991","37",
"717","1970","459996043",
"718","1998","4168",
"719","2013","2654",
"720","1994","537380035",
"721","1973","57",
"722","2010","344580",
"723","2013","865756",
"724","2011","7",
"725","2009","15053",
"726","1987","7",
"727","1999","885191",
"728","1993","0",
"729","2008","168",
"730","2010","1146143",
"731","1987","21",
"732","2013","762",
"733","2025","8920",
"734","2009","87",
"735","1984","580881059",
"736","1976","503958131",
"737","2016","64",
"738","2001","0",
"739","1977","106",
"740","2021","666795588",
"741","2022","23030",
"742","1987","35",
"743","1979","5000713",
"744","2010","343958100",
"745","1977","809",
"746","2019","6",
"747","1998","40555",
"748","1990","30440",
"749","1999","4",
"750","2021","3742798",
"751","2012","574",
"752","1994","458",
"753","1997","7972",
"754","1999","86",
"755","2001","6",
"756","1993","169",
"757","2002","81",
"758","1995","59101",
"759","1993","36489",
"760","1987","76200902",
"761","2025","11",
"762","1970","8",
"763","1985","57475658",
"764","1989","9",
"765","2004","308710",
"766","2021","5218",
"767","1998","1217141",
"768","1970","3818",
"769","1990","0",
"770","1985","0",
"771","1985","0",
"772","1991","0",
"773","2004","2834191",
"774","2015","7557",
"775","1985","3",
"776","2003","0",
"777","2019","0",
"778","1971","7",
"779","2021","9953384",
"780","2007","8556",
"781","2019","180213345",
"782","1980","9",
"783","1976","0",
"784","2005","317356866",
"785","1987","750",
"786","2010","11",
"787","2011","782366088",
"788","2016","63",
"789","1973","81",
"790","1980","725442",
"791","1976","28",
"792","1980","386441",
"793","1973","358324",
"794","1990","702981",
"795","1990","3",
"796","1975","94",
"797","1972","59586975",
"798","1986","786157652",
"799","1977","89885",
"800","2022","0",
"801","2025","7764",
"802","2020","0",
"803","2016","0",
"804","2017","303",
"805","1979","0",
"806","2011","67359",
"807","2014","11",
"808","2001","0",
"809","1984","537028",
"810","1989","2042",
"811","2012","77476",
"812","1990","5373792",
"813","2017","64794",
"814","1998","89898393",
"815","2001","97368774",
"816","1974","7",
"817","2015","782640466",
"818","2019","3084065",
"819","1976","21",
"820","2022","0",
"821","2021","316408",
"822","1971","873345546",
"823","1979","323908",
"824","1996","287",
"825","2025","3505",
"826","1997","0",
"827","1973","10",
"828","2022","3908",
"829","1995","7567",
"830","2014","6760",
"831","2006","526",
"832","2006","45324",
"833","1995","64",
"834","1976","9523766",
"835","1979","51339",
"836","1996","9",
"837","1986","243",
"838","2016","3",
"839","2022","17236065",
"840","2009","624447561",
"841","2023","3171933",
"842","2009","9873889",
"843","2017","24945",
"844","1996","227",
"845","1976","9",
"846","1998","313",
"847","1976","670630064",
"848","2011","22467711",
"849","1994","5540",
"850","1996","0",
"851","1999","8",
"852","2017","61495496",
"853","2019","0",
"854","2006","281502",
"855","2005","0",
"856","2005","0",
"857","1981","5",
"858","2016","28",
"859","1970","53444081",
"860","2024","81989",
"861","2002","532",
"862","2023","2",
"863","1994","37036",
"864","1986","246",
"865","1986","4077",
"866","2002","716",
"867","2011","51919",
"868","2007","0",
"869","1979","75541",
"870","1979","0",
"871","1996","45",
"872","1987","100",
"873","1994","8803210",
"874","2005","9498755",
"875","2002","15979177",
"876","2018","358689774",
"877","2008","29149517",
"878","1998","55987748",
"879","1975","872441",
"880","2012","177363",
"881","1972","35505391",
"882","2017","0",
"883","1993","592016125",
"884","2002","114556280",
"885","1987","719874100",
"886","2016","9080685",
"887","1988","83",
"888","1977","4371",
"889","2007","1814550",
"890","2013","5555602",
"891","1989","260",
"892","2011","839",
"893","2008","6871431",
"894","2016","13",
"895","1977","32946",
"896","2024","7852",
"897","2003","196",
"898","1978","341657",
"899","1982","3534859",
"900","2012","3416588",
"901","1990","69",
"902","1971","188068781",
"903","2021","25890",
"904","2005","445",
"905","2024","90749411",
"906","1974","647817418",
"907","1999","66579",
"908","2002","6509451",
"909","1988","53",
"910","1985","7361056",
"911","2012","0",
"912","2016","5",
"913","2022","119",
"914","1993","496",
"915","2024","6",
"916","2025","0",
"917","1973","717984760",
"918","2020","52510",
"919","2004","1688175",
"920","1975","0",
"921","2023","0",
"922","1986","133077917",
"923","2001","0",
"924","1993","28985",
"925","1980","6181",
"926","2025","5",
"927","1976","1996134",
"928","2006","893365770",
"929","1990","496956621",
"930","2023","1970",
"931","1983","723404",
"932","1970","9",
"933","1973","960513375",
"934","2025","11728154",
"935","1989","806886",
"936","1992","8",
"937","2017","33743",
"938","1990","15930504",
"939","1989","68747",
"940","2007","7",
"941","1985","312",
"942","2013","7",
"943","2023","631007546",
"944","1996","834342",
"945","2010","6949",
"946","2009","5",
"947","2012","57444",
"948","2011","841501",
"949","2009","2719",
"950","1980","30330",
"951","2006","1",
"952","1984","0",
"953","1978","3370",
"954","2008","286291453",
"955","1992","492199168",
"956","2005","7111",
"957","2018","17",
"958","2000","8",
"959","2004","54488880",
"960","1983","3",
"961","2004","41",
"962","1972","9",
"963","2003","4498082",
"964","2024","524",
"965","1977","89507",
"966","2003","571",
"967","2025","0",
"968","1999","650376286",
"969","2007","6948539",
"970","1986","7374",
"971","1989","85",
"972","2015","7871873",
"973","2018","6587",
"974","1994","96872352",
"975","2003","5755",
"976","2010","896563",
"977","2008","7415965",
"978","1988","93527829",
"979","1992","388",
"980","1982","5168",
"981","1997","49406619",
"982","2024","205865987",
"983","1977","50",
"984","1980","606266297",
"985","2018","1726123",
"986","2014","32782795",
"987","1984","241",
"988","1994","95",
"989","1983","14868786",
"990","2024","208200",
"991","1981","0",
"992","1983","1336",
"993","2021","8077",
"994","2002","8530399",
"995","1988","13",
"996","1979","87",
"997","1991","757",
"998","2021","8900",
"999","1991","0",
"1000","1975","2553375",
"1001","1993","35680620",
"1002","1996","2819",
"1003","1983","34168341",
"1004","1970","7335",
"1005","2004","8",
"1006","1974","0",
"1007","1973","41",
"1008","2010","33786985",
"1009","1998","745276507",
"1010","2022","129936",
"1011","2005","0",
"1012","1994","1",
"1013","2003","860826973",
"1014","2017","299389",
"1015","1992","4883",
"1016","1997","463",
"1017","2005","77773056",
"1018","1988","0",
"1019","1977","745478519",
"1020","1992","9971",
"1021","2017","25657",
"1022","1972","8262182",
"1023","2020","92",
"1024","1997","62880606",
"1025","2003","0",
"1026","2019","0",
"1027","2009","3391",
"1028","1980","36",
"1029","2007","93",
"1030","1975","774",
"1031","1990","28322529",
"1032","1980","9046",
"1033","1980","322485",
"1034","1981","281",
"1035","1982","0",
"1036","1982","3719",
"1037","1974","22322",
"1038","1974","83968",
"1039","1983","1613",
"1040","2014","752398184",
"1041","2008","5174",
"1042","1974","73235559",
"1043","2005","60",
"1044","1972","0",
"1045","2020","82816688",
"1046","2001","25",
"1047","2019","151303",
"1048","2005","4",
"1049","2004","1612",
"1050","1990","8820305",
"1051","2013","542212432",
"1052","1994","25048427",
"1053","2003","877068562",
"1054","1976","23100",
"1055","2015","8411",
"1056","1990","96899121",
"1057","1984","58340589",
"1058","1985","40",
"1059","2009","79216",
"1060","1980","344",
"1061","2023","156609",
"1062","1970","185998",
"1063","1991","59724",
"1064","1992","38",
"1065","2011","19",
"1066","1986","62525019",
"1067","1996","9576",
"1068","2004","81872",
"1069","2000","3",
"1070","1978","58405",
"1071","1989","725",
"1072","1976","99",
"1073","2005","96",
"1074","1972","985669232",
"1075","1997","767216",
"1076","1992","9905650",
"1077","2016","30",
"1078","1976","7655266",
"1079","2020","68407780",
"1080","2022","97087",
"1081","2023","83",
"1082","2012","3",
"1083","1972","58710782",
"1084","1975","0",
"1085","1998","43",
"1086","2024","2005863",
"1087","1982","5",
"1088","1976","396",
"1089","2017","0",
"1090","2001","1614",
"1091","1992","9",
"1092","2022","0",
"1093","2003","20616121",
"1094","2008","2036884",
"1095","2010","257",
"1096","2019","911012739",
"1097","2006","124276318",
"1098","2018","87",
"1099","2018","1855",
"1100","1981","94490",
"1101","1993","3961",
"1102","2002","47285",
"1103","2005","5603",
"1104","1979","9392701",
"1105","1974","7495991",
"1106","1976","0",
"1107","2004","439",
"1108","1994","9",
"1109","1978","8008",
"1110","2014","27",
"1111","2001","312458",
"1112","2021","0",
"1113","2025","81",
"1114","1988","726492254",
"1115","2004","9",
"1116","1970","85",
"1117","1984","13194890",
"1118","1997","527967",
"1119","2023","16",
"1120","1989","8",
"1121","2009","167059899",
"1122","1982","4",
"1123","1997","5385",
"1124","1975","8088395",
"1125","1989","29975100",
"1126","2012","8192102",
"1127","1999","50418517",
"1128","1983","368899149",
"1129","2013","9",
"1130","1997","993",
"1131","1991","48745",
"1132","1971","22552",
"1133","1999","98183576",
"1134","1993","28895753",
"1135","1986","804",
"1136","2004","1659",
"1137","1989","831",
"1138","1972","312905",
"1139","2025","7209020",
"1140","2025","48",
"1141","2007","877",
"1142","1995","989920871",
"1143","1993","54",
"1144","1992","0",
"1145","2008","10384",
"1146","1979","48200254",
"1147","2006","4028658",
"1148","2012","5503346",
"1149","2023","0",
"1150","1980","86482",
"1151","1980","55",
"1152","1973","1",
"1153","2010","910865953",
"1154","1980","2729062",
"1155","2005","797411",
"1156","1978","3",
"1157","1982","310",
"1158","2014","50097331",
"1159","2014","95",
"1160","1989","728",
"1161","2005","220361",
"1162","1988","96422565",
"1163","2021","529521236",
"1164","2020","42",
"1165","1995","7",
"1166","2006","0",
"1167","2010","2988",
"1168","2013","351119",
"1169","2001","923814225",
"1170","1979","32",
"1171","2012","94",
"1172","1995","137",
"1173","2002","3",
"1174","2002","4",
"1175","1977","26217920",
"1176","2014","341",
"1177","2010","8744724",
"1178","1982","9387963",
"1179","1993","72",
"1180","1985","788117236",
"1181","2004","38449",
"1182","2021","16",
"1183","2023","0",
"1184","2000","511634656",
"1185","2002","27",
"1186","2005","0",
"1187","2019","7713110",
"1188","1979","66101582",
"1189","1986","0",
"1190","1975","54",
"1191","2006","106006912",
"1192","1990","185310309",
"1193","1985","0",
"1194","1975","6",
"1195","1978","0",
"1196","2012","0",
"1197","1991","136815",
"1198","1973","6176551",
"1199","1982","9",
"1200","2013","87608",
"1201","2004","2",
"1202","2007","58",
"1203","2007","57960",
"1204","2025","6363",
"1205","2020","7",
"1206","1972","47801750",
"1207","2009","60911155",
"1208","2000","126570",
"1209","2011","6",
"1210","1995","452889701",
"1211","2004","7749",
"1212","2019","2328777",
"1213","2020","95398345",
"1214","1989","204",
"1215","2025","6",
"1216","1981","8",
"1217","1980","11757",
"1218","1993","241704",
"1219","2013","43",
"1220","1980","75321094",
"1221","2025","0",
"1222","2007","880998",
"1223","2021","22064970",
"1224","2003","6",
"1225","2022","0",
"1226","1993","9275",
"1227","1974","330266089",
"1228","1998","827991987",
"1229","1993","7",
"1230","2022","96743",
"1231","2023","467",
"1232","2006","78294524",
"1233","2014","2034812",
"1234","2003","2616319",
"1235","2022","299868509",
"1236","2009","832",
"1237","2020","481322",
"1238","1975","1",
"1239","2008","9275",
"1240","1995","712324522",
"1241","1997","138833794",
"1242","2001","1472842",
"1243","2011","0",
"1244","2010","78",
"1245","1975","962",
"1246","2005","262017203",
"1247","2023","88826411",
"1248","2005","54",
"1249","1984","734356",
"1250","1983","8899",
"1251","2007","614",
"1252","1982","0",
"1253","2010","104177139",
"1254","2024","97675",
"1255","1980","824088",
"1256","1982","86224",
"1257","1982","5801093",
"1258","2002","731960",
"1259","1988","0",
"1260","2020","15166",
"1261","2014","74588",
"1262","2002","44053",
"1263","2021","6",
"1264","2023","4",
"1265","1990","3",
"1266","2010","402816006",
"1267","2009","43",
"1268","1995","951907924",
"1269","1979","9838",
"1270","1982","2718314",
"1271","2012","2087",
"1272","1993","94402542",
"1273","2025","6664523",
"1274","1992","9166922",
"1275","1981","9",
"1276","1988","167027",
"1277","2012","7078",
"1278","2009","646283277",
"1279","2007","121038",
"1280","1987","2624875",
"1281","2006","6",
"1282","2020","18522",
"1283","2017","261039",
"1284","2014","161945966",
"1285","1976","127",
"1286","2005","820330577",
"1287","2001","5185",
"1288","1997","28239140",
"1289","2016","2723",
"1290","2003","5581",
"1291","1979","32",
"1292","2023","6321815",
"1293","2014","282",
"1294","1975","66377396",
"1295","2003","94357",
"1296","2017","510",
"1297","2017","662222",
"1298","1986","957",
"1299","1982","39",
"1300","1973","1",
"1301","2013","568837",
"1302","2009","96",
"1303","2003","22",
"1304","1985","9865",
"1305","1971","31068",
"1306","2007","31963315",
"1307","2022","955",
"1308","1980","66",
"1309","2006","198",
"1310","2014","44",
"1311","2000","7949300",
"1312","2013","3",
"1313","1984","322976560",
"1314","2002","0",
"1315","2019","131",
"1316","2014","0",
"1317","2013","694",
"1318","1989","95",
"1319","2003","367",
"1320","1976","0",
"1321","1984","59782594",
"1322","1993","24812372",
"1323","1984","7",
"1324","2008","46813",
"1325","1993","362379082",
"1326","1994","922610509",
"1327","1971","0",
"1328","2023","6429",
"1329","2009","20402765",
"1330","2020","10",
"1331","2015","18",
"1332","2020","797357",
"1333","1995","643061907",
"1334","1982","12147",
"1335","2019","86647",
"1336","1996","23595",
"1337","1992","71",
"1338","2003","49721452",
"1339","2012","21897302",
"1340","2018","31885334",
"1341","2001","5008",
"1342","2014","91",
"1343","2019","2913744",
"1344","1980","7",
"1345","1981","0",
"1346","2022","68868",
"1347","1992","8",
"1348","1984","303604096",
"1349","1983","8787",
"1350","2005","5608242",
"1351","1983","89948",
"1352","1993","0",
"1353","1999","185",
"1354","2021","87134606",
"1355","1972","638445419",
"1356","2020","0",
"1357","1970","5",
"1358","1984","7096",
"1359","2001","575799",
"1360","2013","654634104",
"1361","1984","1394697",
"1362","2025","416236822",
"1363","1989","256382",
"1364","2013","0",
"1365","2024","0",
"1366","2025","8227",
"1367","1993","443419824",
"1368","2003","16740966",
"1369","2005","134124920",
"1370","2013","27950261",
"1371","2019","414",
"1372","1978","329139",
"1373","2021","7095291",
"1374","1983","103",
"1375","1981","8",
