"Campus","Discipline","Year","Undergraduate","Graduate",
"104","617","1970","8","6",
"105","881","2016","6","2",
"106","79845642","2020","4","4",
"107","0","2003","6","2",
"108","665929","1999","1","6",
"109","8199101","1986","8","3",
"110","1999800","2024","1","8",
"111","93818929","1997","7","3",
"112","2591252","1994","9","6",
"113","195","1976","8","1",
"114","235","1999","3","6",
"115","649316","1995","1","2",
"116","572170502","1988","8","8",
"117","7","1995","1","1",
"118","5157024","2017","2","9",
"119","3241","2023","9","8",
"120","3946","1971","5","3",
"121","791","1972","4","7",
"122","44841","2007","3","7",
"123","90730","2009","8","7",
"124","0","1982","6","1",
"125","90077","2022","8","1",
"126","0","2001","3","3",
"127","172960","2019","5","4",
"128","975053087","2020","2","1",
"129","16173","2014","8","3",
"130","0","1983","3","5",
"131","5774","2020","4","3",
"132","86","1983","6","8",
"133","2666007","1985","5","3",
"134","63308","2001","7","4",
"135","5","1987","1","3",
"136","4165841","2022","1","8",
"137","3","2025","5","9",
"138","237377464","1990","6","9",
"139","13206","2005","8","5",
"140","0","1986","5","7",
"141","73774146","2010","7","5",
"142","8","2015","9","9",
"143","2836447","1996","7","2",
"144","54","2013","4","2",
"145","6449706","1991","2","5",
"146","8816","1995","3","1",
"147","546","2022","2","9",
"148","57463410","1986","8","2",
"149","0","2005","8","6",
"150","5","1976","5","7",
"151","372412936","1991","2","5",
"152","27483","1983","5","3",
"153","7","2019","9","4",
"154","0","1995","8","1",
"155","33","1999","2","8",
"156","84120","1983","2","1",
"157","8","1986","5","4",
"158","638","1979","8","8",
"159","86","2025","1","1",
"160","4","2007","4","1",
"161","796302888","1984","1","1",
"162","0","1987","8","6",
"163","524","2019","4","4",
"164","914089942","1983","1","1",
"165","701496283","1985","8","3",
"166","9142","1970","6","1",
"167","5534078","2008","3","3",
"168","20","1996","3","6",
"169","2523089","1972","1","1",
"170","7746180","2007","4","9",
"171","421","1997","9","7",
"172","36954877","1988","4","9",
"173","1434","2022","5","2",
"174","83","2025","9","3",
"175","274467226","1976","2","6",
"176","0","1995","4","1",
"177","0","2022","2","4",
"178","146","2011","6","4",
"179","61444539","1998","1","4",
"180","52875","1989","3","8",
"181","3084311","1986","4","2",
"182","29853","1971","8","9",
"183","607805612","1997","2","8",
"184","8397","2013","4","3",
"185","2","1996","8","7",
"186","0","2013","7","5",
"187","291917","2020","7","1",
"188","24305596","1974","8","2",
"189","44286","2021","8","5",
"190","3799304","1992","2","9",
"191","0","1974","4","2",
"192","933793","2008","2","5",
"193","252910275","2025","5","3",
"194","1901","2009","3","5",
"195","9462","1973","7","3",
"196","1","2009","6","8",
"197","8135116","1982","1","2",
"198","3046","1979","8","7",
"199","2037158","1979","8","6",
"200","26050","2023","9","7",
"201","35149","1977","4","1",
"202","399","1984","8","9",
"203","999680159","2016","2","1",
"204","16","1989","9","2",
"205","303640077","2024","9","9",
"206","442686165","2012","2","8",
"207","54872453","1998","3","3",
"208","614654","1986","8","5",
"209","890","1984","3","5",
"210","39389837","1977","3","8",
"211","88","2006","7","3",
"212","982864713","2017","5","7",
"213","6662866","2023","9","1",
"214","0","1982","4","3",
"215","99850537","2017","2","9",
"216","1603686","2012","3","7",
"217","884143954","2003","5","2",
"218","15496","2023","3","8",
"219","5895","2005","5","7",
"220","725","1988","5","2",
"221","36326","1971","1","5",
"222","20714","1970","1","1",
"223","27787","1984","9","8",
"224","43193081","2011","8","1",
"225","402004261","2023","3","5",
"226","5892","2000","3","5",
"227","53","1971","4","5",
"228","5","2025","7","1",
"229","989055","2020","1","5",
"230","702","2016","7","5",
"231","946944576","1981","6","5",
"232","5242","1983","9","5",
"233","869","1980","9","5",
"234","79801344","1976","3","6",
"235","662685314","1978","7","5",
"236","51449","1996","8","5",
"237","75","1983","1","7",
"238","56876","1979","8","2",
"239","8977134","1996","5","6",
"240","8","2013","3","2",
"241","85","2016","2","9",
"242","234320","1972","8","7",
"243","24","1991","1","3",
"244","85223598","2020","8","1",
"245","859174","2017","4","9",
"246","717","1981","7","1",
"247","578660","1996","7","7",
"248","680","1982","8","6",
"249","227585","1973","5","1",
"250","576046","2014","4","8",
"251","54","1973","9","2",
"252","162","1999","3","6",
"253","590940240","1977","5","1",
"254","0","2009","5","2",
"255","60","2006","9","4",
"256","1365139","1970","6","3",
"257","9245247","2025","8","1",
"258","1","2009","2","6",
"259","71089236","1975","8","3",
"260","0","2019","1","2",
"261","5787","1972","7","7",
"262","96","2019","8","5",
"263","0","2007","6","5",
"264","89085","1989","2","9",
"265","332257671","1984","6","3",
"266","64","2009","6","6",
"267","4","1983","9","3",
"268","34480758","1988","2","1",
"269","858","2020","1","5",
"270","1332046","2007","6","3",
"271","964205","2003","5","7",
"272","538810","1970","2","6",
"273","41363794","2024","8","9",
"274","630448808","1972","8","5",
"275","476","2017","5","8",
"276","4","1994","1","6",
"277","114461","1999","6","5",
"278","596559","1975","8","9",
"279","31799928","1998","8","7",
"280","6608","1998","5","1",
"281","9","1994","8","3",
"282","4802","1995","8","1",
"283","4712","1975","4","9",
"284","820248193","2025","1","4",
"285","72","1991","3","7",
"286","365962","1978","8","1",
"287","0","1976","6","4",
"288","0","1996","6","6",
"289","4438","1976","3","4",
"290","8238","1974","7","3",
"291","2829414","2003","2","1",
"292","620316185","1989","8","5",
"293","0","2000","2","5",
"294","0","2020","9","3",
"295","4","2008","4","4",
"296","1","1977","2","9",
"297","2974","1996","1","8",
"298","440421","1992","1","9",
"299","437","2000","3","3",
"300","17122424","2024","5","6",
"301","528175","1983","3","5",
"302","3","1990","5","6",
"303","407","1988","5","7",
"304","1996","2022","4","8",
"305","77392","1982","6","7",
"306","0","2022","4","1",
"307","48832488","1974","4","3",
"308","6069050","1999","8","2",
"309","2166439","2018","3","4",
"310","4249019","2014","6","1",
"311","99457","2003","9","2",
"312","38","2006","7","1",
"313","3086317","1996","1","5",
"314","0","1984","1","9",
"315","6406","2005","6","9",
"316","53520317","1976","3","3",
"317","20","2002","5","9",
"318","702723","1978","6","9",
"319","0","1984","2","9",
"320","2","2012","4","2",
"321","4","1980","7","3",
"322","6250","2012","1","9",
"323","49","1970","3","1",
"324","77248","2008","8","6",
"325","985896","1972","9","2",
"326","418","2009","2","4",
"327","857289","2025","1","9",
"328","851496551","1980","3","4",
"329","88","2014","2","8",
"330","3599938","1997","2","9",
"331","4","2011","8","4",
"332","0","1971","1","2",
"333","42","1985","1","6",
"334","18936","2004","5","5",
"335","29734","2004","6","4",
"336","60288709","2011","8","1",
"337","6318025","1977","8","8",
"338","5","2024","2","6",
"339","233","2015","2","5",
"340","44","1985","7","8",
"341","917622","1985","4","8",
"342","375897782","1976","9","3",
"343","629314404","2009","8","1",
"344","3776","1981","7","4",
"345","0","2011","1","2",
"346","718359036","1978","1","5",
"347","99","1977","9","2",
"348","91672","1995","2","8",
"349","9405","2009","6","6",
"350","486317290","2014","9","4",
"351","3286","2006","6","8",
"352","8853","1984","4","2",
"353","96","1990","3","6",
"354","9305361","1979","5","6",
"355","9580","1984","5","8",
"356","7180238","1987","8","5",
"357","386926369","1979","8","7",
"358","9","1984","9","6",
"359","645124","1996","6","5",
"360","5831","2012","2","5",
"361","400490350","1981","5","1",
"362","0","2010","3","4",
"363","81","1986","4","6",
"364","1671","1972","1","1",
"365","9118","1987","4","9",
"366","2","1992","1","2",
"367","298699710","2021","1","9",
"368","92806263","2011","4","2",
"369","69218","2003","8","6",
"370","35913600","1974","2","5",
"371","13894613","2021","1","3",
"372","900","2011","6","7",
"373","210","1983","3","2",
"374","594","1999","2","3",
"375","869","1993","5","8",
"376","633766","1976","1","9",
"377","24086","1974","4","7",
"378","65968","2013","6","2",
"379","718697","2005","6","7",
"380","2652","2012","1","3",
"381","5092","1990","2","2",
"382","948176","1985","5","6",
"383","0","2008","7","1",
"384","70","1984","7","9",
"385","647026","1980","2","5",
"386","0","2019","4","6",
"387","61949388","1982","8","4",
"388","726821","2024","9","3",
"389","25942463","1978","6","2",
"390","45287","2010","3","1",
"391","565","1973","6","7",
"392","2","1977","3","3",
"393","35432","2005","1","3",
"394","92419","1977","2","4",
"395","791","1984","2","8",
"396","62267578","1988","4","1",
"397","10963","2007","9","3",
"398","85","1971","9","4",
"399","576022","2010","4","6",
"400","984544","1984","5","1",
"401","187208","1978","6","1",
"402","639896952","1995","8","6",
"403","89204579","1999","4","3",
"404","45","2013","7","8",
"405","0","2012","3","5",
"406","17902","2025","6","8",
"407","9","1995","9","2",
"408","0","2005","8","7",
"409","91","1990","8","2",
"410","784332","2009","8","1",
"411","34770009","2020","1","8",
"412","2","2014","6","2",
"413","2","1983","5","5",
"414","0","1977","2","1",
"415","65834057","2021","6","4",
"416","0","1980","7","5",
"417","90","1980","4","6",
"418","9480032","2017","9","3",
"419","32728828","1992","1","1",
"420","719511172","2001","6","3",
"421","0","1973","5","9",
"422","83180348","1975","5","5",
"423","82103","1993","2","9",
"424","36997775","2019","7","4",
"425","1351705","2023","7","7",
"426","426632","1988","9","8",
"427","5614","2020","8","4",
"428","99858","1999","1","3",
"429","81261725","1987","8","3",
"430","187","1995","4","7",
"431","6","1997","6","2",
"432","5617851","2022","4","9",
"433","8386304","2004","9","5",
"434","2884","2008","8","3",
"435","852790","1988","6","5",
"436","0","1987","6","6",
"437","326874","1970","4","1",
"438","65","1989","8","9",
"439","57","1973","6","1",
"440","479308","1995","8","6",
"441","0","1997","8","5",
"442","3350748","1970","1","5",
"443","13532","1984","1","8",
"444","3514393","1997","3","3",
"445","664","1986","7","6",
"446","873801","1988","3","3",
"447","917392","2001","1","3",
"448","441440441","1989","6","4",
"449","8721","1998","2","8",
"450","7886237","1997","7","3",
"451","7300","1978","1","7",
"452","8","1989","7","6",
"453","16375148","2021","7","1",
"454","2683","1979","1","1",
"455","808","1994","2","7",
"456","64","1993","8","5",
"457","590488894","1975","4","6",
"458","463","1980","7","6",
"459","2520","1971","4","7",
"460","0","2020","8","9",
"461","146","2003","3","2",
"462","78993387","1998","7","4",
"463","9995","2004","6","3",
"464","65","2008","5","5",
"465","76","2002","5","6",
"466","89790","2012","3","2",
"467","0","2023","9","6",
"468","45","2017","6","6",
"469","946144317","1971","4","3",
"470","974177899","2022","6","8",
"471","0","1993","5","8",
"472","6565","2009","3","2",
"473","6753529","2003","4","4",
"474","57","1999","3","3",
"475","115012","2003","9","9",
"476","38848","2020","9","7",
"477","5","1993","8","8",
"478","7995","2015","5","7",
"479","46","2016","5","9",
"480","0","2025","7","2",
"481","762","1986","5","9",
"482","2938","2018","8","2",
"483","791","2022","9","1",
"484","2565","1970","3","6",
"485","7","2001","5","6",
"486","562","1973","2","7",
"487","4368420","2013","7","6",
"488","81819","1984","8","2",
"489","0","1990","6","3",
"490","97","2024","2","4",
"491","8","2013","8","3",
"492","985197176","2005","8","4",
"493","0","1985","8","2",
"494","220929660","2010","6","9",
"495","0","2020","5","4",
"496","72736866","1995","3","1",
"497","9","1970","4","4",
"498","657590","1979","8","6",
"499","0","2025","3","6",
"500","806769738","1974","7","2",
"501","920","2025","8","9",
"502","0","1992","5","3",
"503","96496096","2020","7","7",
"504","17084","1981","7","5",
"505","296653","2021","7","6",
"506","901917","2003","5","1",
"507","831","2011","8","2",
"508","8","2022","4","6",
"509","3199","1977","9","2",
"510","3","1993","7","7",
"511","388332768","2015","8","3",
"512","0","2018","6","5",
"513","0","1999","8","5",
"514","512982","2009","6","5",
"515","8","2007","3","2",
"516","79340801","1971","8","6",
"517","2","1990","5","7",
"518","330","1999","9","8",
"519","660193","1990","4","2",
"520","4993570","1988","3","6",
"521","5","2007","3","9",
"522","3259","1980","1","2",
"523","23135","2020","6","4",
"524","702207","2023","8","2",
"525","5","1983","6","9",
"526","2581305","1997","1","1",
"527","0","1982","4","6",
"528","5062","2008","9","8",
"529","6988711","2025","6","9",
"530","0","2007","1","3",
"531","0","1976","2","4",
"532","230","2023","4","2",
"533","2832","1981","8","4",
"534","3747","1994","9","7",
"535","450","2003","2","9",
"536","808685207","1971","9","9",
"537","683060","1984","3","8",
"538","404500","2010","2","5",
"539","0","2019","7","8",
"540","0","2004","1","4",
"541","705629","2009","4","1",
"542","986","2013","8","5",
"543","6329","2014","6","9",
"544","11775","1980","1","7",
"545","6094","2024","7","2",
"546","854","1986","6","5",
"547","0","2005","3","8",
"548","737165","1974","9","5",
"549","84","2007","9","7",
"550","615","1995","5","3",
"551","4","1977","4","3",
"552","3866371","1995","4","9",
"553","98098545","1986","7","5",
"554","613","2009","8","2",
"555","5","1998","2","6",
"556","1532994","2008","5","3",
"557","2","1991","2","8",
"558","76","1993","8","9",
"559","957558711","1984","3","2",
"560","729522","1977","6","8",
"561","23","1977","4","3",
"562","160290","2014","7","7",
"563","172505","2024","7","3",
"564","1910","2012","4","8",
"565","66383","2001","6","3",
"566","7","2017","3","2",
"567","6","1995","1","9",
"568","88131853","2000","7","2",
"569","172740","2000","3","1",
"570","574126","2015","9","6",
"571","75895538","1996","6","2",
"572","2093042","2022","9","4",
"573","34","1976","5","5",
"574","9746","2017","6","6",
"575","0","2003","9","6",
"576","6","2004","5","1",
"577","0","1970","7","9",
"578","702","1984","9","7",
"579","43531","1989","1","2",
"580","363","1981","7","6",
"581","19974","2014","9","8",
"582","94285234","2008","5","2",
"583","7","1971","5","1",
"584","943","2003","3","7",
"585","348","2009","6","4",
"586","92","2025","8","2",
"587","588","2025","5","9",
"588","4","2000","5","9",
"589","0","2024","8","7",
"590","15913","2021","8","8",
"591","2","2019","1","3",
"592","60616","1988","8","4",
"593","95399","2001","3","6",
"594","38531472","1981","3","9",
"595","2","1971","1","8",
"596","2817860","1981","1","3",
"597","4568135","2015","6","6",
"598","9","2010","4","3",
"599","8","1986","3","4",
"600","0","2010","1","9",
"601","59","1978","2","9",
"602","449760778","2023","2","6",
"603","84491","1991","2","2",
"604","73444","2003","7","8",
"605","0","1996","8","8",
"606","394922595","2001","1","5",
"607","0","2025","2","9",
"608","502286230","1992","4","3",
"609","68674061","2023","8","7",
"610","73016554","1999","9","7",
"611","53","2017","3","3",
"612","0","2005","1","4",
"613","26752","2017","9","1",
"614","18","1989","3","2",
"615","23855167","1984","2","4",
"616","4","1971","8","5",
"617","44717","1985","1","8",
"618","9","2008","3","7",
"619","32","1972","9","7",
"620","468859","2022","6","3",
"621","22322747","1989","9","1",
"622","0","1989","1","3",
"623","6523","2000","9","4",
"624","62","1976","3","6",
"625","0","1994","5","6",
"626","6206","1987","2","2",
"627","9734096","1996","1","5",
"628","44","2001","9","7",
"629","0","2006","3","8",
"630","122","1986","2","3",
"631","9581697","1989","4","4",
"632","0","1985","4","3",
"633","3169","2011","5","3",
"634","72","1976","4","8",
"635","3523772","2014","9","9",
"636","13","2013","9","8",
"637","2897723","1974","9","8",
"638","6","1976","5","8",
"639","82187551","2008","2","4",
"640","5529","2022","6","5",
"641","127913719","1992","8","1",
"642","0","1979","5","3",
"643","950186459","1977","1","7",
"644","0","1970","9","3",
"645","31","2003","6","7",
"646","2152572","1991","7","9",
"647","84555","2011","6","2",
"648","32","2009","6","7",
"649","25","2014","6","6",
"650","816","2012","8","7",
"651","107085842","1981","1","7",
"652","4932377","2005","5","4",
"653","8549","1977","3","2",
"654","999763","2014","6","7",
"655","512521410","1983","9","7",
"656","0","2008","8","2",
"657","6138","1980","5","9",
"658","352397799","2021","4","9",
"659","5462","1990","3","1",
"660","3","2011","2","1",
"661","203807","2006","3","3",
"662","15436","1992","3","4",
"663","44145498","1996","9","3",
"664","322680471","1976","4","4",
"665","54","2010","5","2",
"666","77","2009","5","9",
"667","56559469","2003","3","5",
"668","9165","1971","3","2",
"669","816814","1981","1","7",
"670","114","2006","2","4",
"671","0","2004","2","1",
"672","9135","2019","4","2",
"673","31699868","1986","2","3",
"674","152673","2010","7","2",
"675","135","1973","9","2",
"676","1179","1985","2","1",
"677","5787067","2000","9","5",
"678","85962","2008","6","3",
"679","96684","2021","1","2",
"680","5335","1995","3","8",
"681","98","1979","9","7",
"682","101736","1976","4","9",
"683","7","2014","8","4",
"684","156695","2005","9","3",
"685","36014","1989","1","5",
"686","0","2023","2","3",
"687","86379114","1974","1","5",
"688","0","2021","4","7",
"689","307576477","1980","2","2",
"690","62880547","2015","3","8",
"691","2699841","1978","2","7",
"692","0","2006","9","1",
"693","172055843","2009","9","8",
"694","92","2016","6","1",
"695","87627010","1978","3","3",
"696","900164947","2015","9","2",
"697","26156046","1986","3","7",
"698","0","1986","9","2",
"699","6339","1994","6","8",
"700","88321112","1978","9","9",
"701","3501493","1978","7","3",
"702","628853617","1978","3","2",
"703","13","2015","6","9",
"704","87","1974","7","4",
"705","694088724","1996","3","3",
"706","648517","2001","8","5",
"707","9126","2001","8","1",
"708","4","1985","9","9",
"709","766406","2006","8","2",
"710","553","1973","8","9",
"711","9","1992","5","9",
"712","70634","2012","7","9",
"713","79","1995","5","3",
"714","0","2012","6","3",
"715","1624042","1979","4","1",
"716","961033492","1979","7","4",
"717","457","1977","9","6",
"718","25","2012","6","8",
"719","46","1994","6","5",
"720","229462","1993","1","2",
"721","48","2008","6","9",
"722","240912","2021","5","7",
"723","6","1989","3","2",
"724","0","1986","8","7",
"725","5554","1993","4","3",
"726","3","1978","8","9",
"727","0","2009","3","9",
"728","8","1979","3","9",
"729","955518154","2018","1","1",
"730","465","2018","7","3",
"731","19483","2023","5","9",
"732","3","1970","5","6",
"733","314336","1979","4","9",
"734","647","1975","9","3",
"735","7417852","2023","7","5",
"736","43","1977","7","1",
"737","6","1980","6","7",
"738","8575031","2014","7","6",
"739","663132","1998","3","9",
"740","1","1975","5","8",
"741","1983","1992","4","4",
"742","17","1972","7","3",
"743","90217","2001","2","3",
"744","0","2015","7","1",
"745","29","2010","2","5",
"746","0","1970","7","9",
"747","0","1992","7","3",
"748","91962","1986","8","6",
"749","6153364","1999","7","2",
"750","9200061","1976","2","7",
"751","1621746","2007","8","6",
"752","62","1974","9","8",
"753","14697234","1975","9","5",
"754","0","1979","2","3",
"755","73406447","1981","5","7",
"756","512423","1973","5","7",
"757","21","2000","9","8",
"758","5243","2011","3","8",
"759","0","2005","4","6",
"760","55575403","1970","2","2",
"761","45","1979","4","7",
"762","3459413","2017","6","6",
"763","3","2016","9","7",
"764","94367","2012","2","4",
"765","6390","1977","5","5",
"766","82005","1990","6","4",
"767","455","1983","4","7",
"768","0","1973","4","2",
"769","7740","1989","4","4",
"770","6242772","1984","1","3",
"771","3","1997","9","2",
"772","7","1986","6","4",
"773","9569295","1982","7","2",
"774","9297848","1996","9","4",
"775","57740566","1984","3","1",
"776","29606","1978","2","8",
"777","37","1980","5","3",
"778","5295","1995","2","8",
"779","936","1997","7","8",
"780","97767","1976","9","8",
"781","257","2015","4","6",
"782","20045","2001","1","5",
"783","828","2013","9","2",
"784","242","2009","6","1",
"785","4777016","1974","5","2",
"786","3843","1976","9","4",
"787","973465","1986","1","9",
"788","52754","1976","6","9",
"789","6475699","2010","2","6",
"790","8374","1996","2","2",
"791","1","1997","1","7",
"792","888781","1997","3","5",
"793","9218","1989","9","3",
"794","64892040","1983","1","6",
"795","424946","1984","6","7",
"796","786735143","2019","2","4",
"797","106","2023","8","9",
"798","1348468","1992","7","6",
"799","482766","2004","7","4",
"800","93","2007","8","6",
"801","579778070","2007","6","2",
"802","0","2023","5","6",
"803","94665824","2020","8","3",
"804","74723","1977","4","5",
"805","29577022","1991","9","1",
"806","887030","2012","8","6",
"807","965887569","2003","7","8",
"808","38","1998","7","4",
"809","0","2025","8","1",
"810","0","1972","6","4",
"811","27","1979","1","8",
"812","8034411","2024","7","4",
"813","62","1987","9","1",
"814","67","2016","4","9",
"815","179009001","2015","6","2",
"816","172843","1987","1","1",
"817","418190","2025","8","8",
"818","0","1971","6","8",
"819","2958512","1987","4","7",
"820","0","2012","2","8",
"821","0","1987","1","4",
"822","986503","1979","7","3",
"823","702106","2025","8","9",
"824","59","2011","3","9",
"825","568","1987","9","2",
"826","6463603","2025","8","6",
"827","321562831","1983","7","6",
"828","0","2017","5","3",
"829","842","1993","8","6",
"830","79459","1984","7","1",
"831","40808","2003","4","9",
"832","7834","1974","1","9",
"833","4258","2025","4","9",
"834","8605","2016","9","4",
"835","7","1973","7","9",
"836","6315","2007","1","4",
"837","907","1988","4","5",
"838","168727641","2016","2","4",
"839","6025","1999","6","9",
"840","8308294","1982","9","2",
"841","73","2013","1","8",
"842","136","1975","8","7",
"843","772927701","2025","7","9",
"844","88792","1976","4","9",
"845","42279","1995","1","1",
"846","6721759","2013","4","5",
"847","501","1980","6","3",
"848","88221","2013","4","2",
"849","707465","2007","4","2",
"850","8498842","1971","2","3",
"851","15","2012","1","3",
"852","2","1992","2","8",
"853","0","2010","5","1",
"854","468963340","2003","8","3",
"855","872910390","1987","1","7",
"856","1678","1973","7","5",
"857","402672","1994","9","7",
"858","83","2013","6","7",
"859","24","1989","7","1",
"860","96560346","1972","6","1",
"861","3859","2020","4","9",
"862","77832","1970","6","9",
"863","1","1996","9","7",
"864","13","1974","5","9",
"865","2","2011","9","1",
"866","9","1981","9","4",
"867","1078","2021","9","8",
"868","832662445","2014","4","3",
"869","8745391","1976","7","8",
"870","84637468","1971","9","9",
"871","91","2021","5","9",
"872","85833","1993","6","7",
"873","23014","2001","3","7",
"874","579381614","2015","8","6",
"875","3711","2005","7","2",
"876","83866","2012","4","4",
"877","51182484","1983","6","9",
"878","0","2021","2","7",
"879","270","1974","1","3",
"880","12354","2003","6","8",
"881","34","2016","2","6",
"882","654875","2019","9","8",
"883","23987","2019","3","7",
"884","0","2019","4","3",
"885","288","1985","9","8",
"886","55327","1977","3","6",
"887","58884377","1985","9","8",
"888","8792083","1990","4","5",
"889","6211987","2003","3","2",
"890","616","2008","2","6",
"891","64079","2001","4","1",
"892","75","2009","2","7",
"893","9036794","1995","7","3",
"894","0","1989","3","3",
"895","669591","2015","6","7",
"896","113871","2023","9","5",
"897","2054","1987","8","6",
"898","2284688","2020","3","4",
"899","703397","2023","2","8",
"900","0","2016","7","1",
"901","12445528","1979","3","2",
"902","4","1984","7","8",
"903","0","1994","6","7",
"904","676937368","1990","6","2",
"905","2299","2020","3","8",
"906","533983461","1985","7","9",
"907","88016","2005","9","4",
"908","41669","2007","8","3",
"909","91","2018","2","7",
"910","1","1984","7","2",
"911","8542","1977","9","4",
"912","52175","1997","5","5",
"913","5650995","2019","8","5",
"914","20908","2007","7","1",
"915","5356337","1979","3","8",
"916","804809","2019","8","4",
"917","83952","2005","9","7",
"918","77","1998","1","4",
"919","0","1993","4","3",
"920","401775","2004","5","7",
"921","9","2017","8","3",
"922","567101","2016","6","6",
"923","119728","1996","1","7",
"924","82610155","1989","2","2",
"925","101372083","2014","8","3",
"926","7238","1979","8","9",
"927","0","2002","4","7",
"928","2615","1981","7","9",
"929","927","1979","5","7",
"930","65","1972","6","2",
"931","1","2006","4","1",
"932","26927","2002","6","7",
"933","58299","1995","5","7",
"934","38320502","2010","1","6",
"935","8","1982","5","1",
"936","292584","2004","7","9",
"937","25","2002","5","4",
"938","557","1999","9","8",
"939","4243","1983","6","1",
"940","71284","2019","6","5",
"941","66353","1995","8","8",
"942","7","2022","7","5",
"943","24","2021","6","5",
"944","0","2002","9","9",
"945","619175","1981","8","1",
"946","6398","1976","4","4",
"947","130499140","2013","5","2",
"948","7051403","2023","5","8",
"949","43","1980","1","6",
"950","54178776","1990","7","5",
"951","1243413","1984","2","2",
"952","19","1977","2","7",
"953","439394","1990","5","8",
"954","503044021","2013","8","6",
"955","283361","2019","8","2",
"956","24","2007","5","2",
"957","20","1972","7","6",
"958","4878","1978","7","2",
"959","86","2023","4","5",
"960","118317","2018","3","2",
"961","60342","1981","3","7",
"962","3","1992","7","6",
"963","4817","1997","2","7",
"964","3","2023","9","2",
"965","4474036","2024","4","5",
"966","65681999","1981","5","1",
"967","38107","1981","7","4",
"968","3","1971","9","6",
"969","0","1994","7","4",
"970","35","1994","5","1",
"971","768274","2020","7","2",
"972","0","1976","5","4",
"973","7806721","2001","3","9",
"974","43891","1999","6","7",
"975","82","2025","6","3",
"976","3","1973","5","5",
"977","86098014","1978","4","4",
"978","310","1997","4","6",
"979","9610","1985","6","9",
"980","56","1990","3","4",
"981","6","1971","8","8",
"982","78","1997","7","8",
"983","78","1973","5","3",
"984","117","2018","9","3",
"985","835127066","2009","3","4",
"986","68","1998","8","9",
"987","175844512","1972","9","1",
"988","791541","1975","3","2",
"989","8704","2019","1","4",
"990","4551","1984","7","7",
"991","0","2003","4","2",
"992","0","2022","8","1",
"993","1","2016","7","2",
"994","69","1971","7","2",
"995","25028339","1985","9","9",
"996","970771","2022","8","6",
"997","711502","1974","7","9",
"998","987080681","1991","7","7",
"999","6915658","2013","8","7",
"1000","5090572","1978","4","1",
"1001","0","2017","4","1",
"1002","29893","1973","6","1",
"1003","51920712","2003","7","6",
"1004","67028","1981","3","1",
"1005","41586811","2023","6","2",
